dataset,paradigm,win_ms,n_codes,vocab_size,seed,fold,accuracy,macro_f1,kappa,compression_ratio,mean_token_ms
bci_iv_2a,Motor Imagery,500,64,4096,123,5,0.2586805555555556,0.25865373625699095,0.01157407407407407,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,123,6,0.2534722222222222,0.25483529014829176,0.00462962962962965,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,123,7,0.2743055555555556,0.2748896709507736,0.03240740740740744,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,123,8,0.2586805555555556,0.2580462790363611,0.01157407407407407,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,456,0,0.2708333333333333,0.2696727698429738,0.02777777777777779,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,456,1,0.2829861111111111,0.2806678133354377,0.04398148148148151,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,456,2,0.2864583333333333,0.28546063988383275,0.04861111111111116,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,456,3,0.2881944444444444,0.28665251157156046,0.05092592592592593,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,456,4,0.23958333333333334,0.23222081753346654,-0.01388888888888884,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,456,5,0.2586805555555556,0.25865373625699095,0.01157407407407407,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,456,6,0.2517361111111111,0.25319977440716235,0.0023148148148147696,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,456,7,0.2743055555555556,0.2749086107564479,0.03240740740740744,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,456,8,0.2604166666666667,0.2599041751503909,0.01388888888888884,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,789,0,0.2760416666666667,0.2750493998789352,0.03472222222222221,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,789,1,0.2829861111111111,0.2807017509380451,0.04398148148148151,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,789,2,0.2847222222222222,0.28360165456151826,0.04629629629629628,1.0771093485853307,3481.540667087542
bci_iv_2a,Motor Imagery,500,64,4096,789,3,0.2881944444444444,0.28665251157156046,0.05092592592592593,1.0771093485853307,3481.540667087542
