ablation,dataset,condition,n_artifact_tokens,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A5,sleep_edf,without_artifacts,204,42,0.7918671850373862,0.05691749704686956,0.7328283420286416,0.8410754032105201,0.6370078406881211,0.5865709688323051,2026-03-12T09:03:59.917250
A5,sleep_edf,without_artifacts,204,123,0.6940384783448164,0.13205031820958646,0.5553921395000341,0.7953186981158318,0.5662441455935842,0.4648286122314351,2026-03-12T09:03:59.918750
A5,sleep_edf,without_artifacts,204,456,0.7296761709950532,0.08814807148067552,0.6573712157742685,0.8019811262158381,0.5852081441781677,0.5102861289825247,2026-03-12T09:03:59.919750
A5,sleep_edf,without_artifacts,204,789,0.631099457489865,0.2150773791041591,0.4253118615926355,0.7779075687713574,0.5403102655761975,0.4313297724748617,2026-03-12T09:03:59.921249
A5,sleep_edf,without_artifacts,204,2024,0.6623847372428938,0.10524560333258337,0.5725910683120645,0.7502430149764772,0.5642631879601684,0.420621072928523,2026-03-12T09:03:59.922751
A5,bci_iv_2a,with_artifacts,50,42,0.25983796296296297,0.02006358312888855,0.24479166666666666,0.2881944444444444,0.25983796296296297,0.013117283950617323,2026-03-21T22:47:20.264614
A5,bci_iv_2a,with_artifacts,50,123,0.25925925925925924,0.020460265659332965,0.24479166666666666,0.2881944444444444,0.25925925925925924,0.012345679012345697,2026-03-21T22:47:20.265614
A5,bci_iv_2a,with_artifacts,50,456,0.25752314814814814,0.01679238209322559,0.24479166666666666,0.28125,0.25752314814814814,0.01003086419753089,2026-03-21T22:47:20.266613
A5,bci_iv_2a,with_artifacts,50,789,0.2586805555555556,0.019692939267561972,0.24305555555555555,0.2864583333333333,0.2586805555555556,0.011574074074074106,2026-03-21T22:47:20.267614
A5,bci_iv_2a,with_artifacts,50,2024,0.2586805555555555,0.020977510370823894,0.24131944444444445,0.2881944444444444,0.2586805555555555,0.01157407407407407,2026-03-21T22:47:20.268613
A5,bci_iv_2a,without_artifacts,50,42,0.25636574074074076,0.012221476899272488,0.24305555555555555,0.2725694444444444,0.25636574074074076,0.008487654320987637,2026-03-21T22:47:20.269112
A5,bci_iv_2a,without_artifacts,50,123,0.2586805555555556,0.012599271445067855,0.2465277777777778,0.2760416666666667,0.2586805555555556,0.011574074074074106,2026-03-21T22:47:20.270112
A5,bci_iv_2a,without_artifacts,50,456,0.25810185185185186,0.010826554938581992,0.2465277777777778,0.2725694444444444,0.25810185185185186,0.01080246913580248,2026-03-21T22:47:20.270613
A5,bci_iv_2a,without_artifacts,50,789,0.25752314814814814,0.012221476899272492,0.24131944444444445,0.2708333333333333,0.25752314814814814,0.010030864197530817,2026-03-21T22:47:20.271612
A5,bci_iv_2a,without_artifacts,50,2024,0.25752314814814814,0.012384800092032827,0.24479166666666666,0.2743055555555556,0.25752314814814814,0.01003086419753089,2026-03-21T22:47:20.272613
A5,bci_iv_2a,with_artifacts,50,42,0.25925925925925924,0.01679238209322558,0.2465277777777778,0.2829861111111111,0.25925925925925924,0.012345679012345697,2026-03-21T22:47:20.282612
A5,bci_iv_2a,with_artifacts,50,123,0.25983796296296297,0.020163485405305943,0.24305555555555555,0.2881944444444444,0.25983796296296297,0.01311728395061725,2026-03-21T22:47:20.283612
A5,bci_iv_2a,with_artifacts,50,456,0.2609953703703704,0.019245705032773005,0.2465277777777778,0.2881944444444444,0.2609953703703704,0.014660493827160503,2026-03-21T22:47:20.284113
A5,bci_iv_2a,with_artifacts,50,789,0.25752314814814814,0.01822687007873104,0.24131944444444445,0.2829861111111111,0.25752314814814814,0.010030864197530817,2026-03-21T22:47:20.285113
A5,bci_iv_2a,with_artifacts,50,2024,0.26099537037037035,0.019349830436690373,0.24479166666666666,0.27546296296296297,0.2609953703703704,0.014660493827160503,2026-03-21T22:47:20.286113
A5,sleep_edf,with_artifacts,48,42,0.5412504846896103,0.20236125703196428,0.2569811320754717,0.7119914346895074,0.5535285133611704,0.3471382068764055,2026-03-21T23:11:31.775152
A5,sleep_edf,with_artifacts,48,123,0.5446674362143863,0.19686314807150992,0.2683018867924528,0.7119914346895074,0.5665036061785261,0.3508599108415427,2026-03-21T23:11:31.777155
A5,sleep_edf,with_artifacts,48,456,0.5614973192595653,0.16479386853504435,0.3305660377358491,0.7041399000713776,0.5743713896653371,0.36196132718558643,2026-03-21T23:11:31.778155
A5,sleep_edf,with_artifacts,48,789,0.5521938809160254,0.1869969247558026,0.289811320754717,0.7119914346895074,0.5694219415463784,0.35644465244602425,2026-03-21T23:11:31.778655
A5,sleep_edf,with_artifacts,48,2024,0.560173676177063,0.1739668408938136,0.31660377358490566,0.7119914346895074,0.5856508112642329,0.366509256076981,2026-03-21T23:11:31.779655
A5,sleep_edf,without_artifacts,48,42,0.53663738705633,0.1971899317538043,0.25849056603773585,0.6930763740185583,0.5624442106522191,0.3444821571001795,2026-03-21T23:11:31.780655
A5,sleep_edf,without_artifacts,48,123,0.5550002223125049,0.16685056588833,0.32,0.6909350463954317,0.5894533916937071,0.358684802541587,2026-03-21T23:11:31.781157
A5,sleep_edf,without_artifacts,48,456,0.5446218915129193,0.17924769500855306,0.2920754716981132,0.6775343498275633,0.5761320228594122,0.3503338080571407,2026-03-21T23:11:31.782154
A5,sleep_edf,without_artifacts,48,789,0.5524897173502227,0.16579684096453504,0.3192452830188679,0.6760294172052229,0.5872143400127446,0.3567230602832285,2026-03-21T23:11:31.783157
A5,sleep_edf,without_artifacts,48,2024,0.5375020439910563,0.19196667627993685,0.26679245283018865,0.6905781584582441,0.5586558222573833,0.34162764075755536,2026-03-21T23:11:31.783654
