ablation,dataset,method,n_bins,vocab_size,condition,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A2,bci_iv_2a,mu_law,128,1024,proportional_V,456,0.2669753086419753,0.018925960781498507,0.25520833333333337,0.2800925925925926,0.2669753086419753,0.02263374485596707,2026-03-12T02:26:08.988818
A2,bci_iv_2a,mu_law,128,1024,proportional_V,789,0.26793981481481477,0.02176110610759625,0.25540123456790126,0.2827932098765432,0.26793981481481477,0.023919753086419755,2026-03-12T02:26:08.989818
A2,bci_iv_2a,mu_law,128,1024,proportional_V,2024,0.26736111111111105,0.019862271182558466,0.2544319058641975,0.28067611882716054,0.26736111111111105,0.02314814814814814,2026-03-12T02:26:08.990818
A2,bci_iv_2a,mu_law,128,512,fixed_V,42,0.2662037037037037,0.02206675458904817,0.2523148148148148,0.28163580246913583,0.2662037037037037,0.021604938271604923,2026-03-12T02:27:59.065167
A2,bci_iv_2a,mu_law,128,512,fixed_V,123,0.26523919753086417,0.01980786674844667,0.25212191358024694,0.27778260030864205,0.26523919753086417,0.020318930041152247,2026-03-12T02:27:59.067171
A2,bci_iv_2a,mu_law,128,512,fixed_V,456,0.26678240740740744,0.020130239734868157,0.2538483796296296,0.279320987654321,0.26678240740740744,0.022376543209876514,2026-03-12T02:27:59.068671
A2,bci_iv_2a,mu_law,128,512,fixed_V,789,0.26485339506172845,0.020297756848712822,0.25096450617283955,0.2772038966049383,0.26485339506172845,0.019804526748971176,2026-03-12T02:27:59.069671
A2,bci_iv_2a,mu_law,128,512,fixed_V,2024,0.2654320987654321,0.02010434398250602,0.2527006172839506,0.2779755015432099,0.2654320987654321,0.020576131687242816,2026-03-12T02:27:59.070670
A2,bci_iv_2a,mu_law,256,2048,proportional_V,42,0.28086419753086417,0.015328063676943627,0.27044753086419754,0.29050925925925924,0.28086419753086417,0.04115226337448558,2026-03-12T02:31:52.638709
A2,bci_iv_2a,mu_law,256,2048,proportional_V,123,0.2810570987654321,0.01579435917473667,0.2698640046296296,0.29108796296296297,0.2810570987654321,0.04140946502057614,2026-03-12T02:31:52.640708
A2,bci_iv_2a,mu_law,256,2048,proportional_V,456,0.28028549382716056,0.016081531636316617,0.27025462962962965,0.2899305555555556,0.2802854938271605,0.040380658436214,2026-03-12T02:31:52.641708
A2,bci_iv_2a,mu_law,256,2048,proportional_V,789,0.27893518518518523,0.017874357883657988,0.2660108024691359,0.29012345679012347,0.27893518518518523,0.038580246913580245,2026-03-12T02:31:52.642708
A2,bci_iv_2a,mu_law,256,2048,proportional_V,2024,0.27893518518518523,0.014731391274719735,0.26832561728395066,0.28858506944444445,0.27893518518518523,0.03858024691358026,2026-03-12T02:31:52.643708
A2,bci_iv_2a,mu_law,256,512,fixed_V,42,0.2785493827160494,0.021374640627730777,0.2673562885802469,0.2943721064814815,0.27854938271604934,0.03806584362139917,2026-03-12T02:34:14.017615
A2,bci_iv_2a,mu_law,256,512,fixed_V,123,0.2768132716049383,0.02016533077989503,0.26601080246913583,0.2908998842592593,0.2768132716049383,0.03575102880658435,2026-03-12T02:34:14.020118
A2,bci_iv_2a,mu_law,256,512,fixed_V,456,0.2810570987654321,0.021254179816110053,0.2698688271604939,0.2955246913580247,0.2810570987654321,0.04140946502057614,2026-03-12T02:34:14.021120
A2,bci_iv_2a,mu_law,256,512,fixed_V,789,0.28028549382716045,0.019847277958166633,0.26967592592592593,0.29417438271604934,0.28028549382716045,0.040380658436213995,2026-03-12T02:34:14.022120
A2,bci_iv_2a,mu_law,256,512,fixed_V,2024,0.2777777777777778,0.021513460990093863,0.26658950617283955,0.2924479166666667,0.2777777777777778,0.03703703703703703,2026-03-12T02:34:14.023120
A2,bci_iv_2a,mu_law,512,4096,proportional_V,42,0.2698688271604939,0.013173897437472121,0.26176697530864196,0.27816358024691357,0.2698688271604939,0.026491769547325104,2026-03-12T02:39:58.368732
A2,bci_iv_2a,mu_law,512,4096,proportional_V,123,0.2696759259259259,0.013645632086286576,0.2606095679012346,0.27816358024691357,0.2696759259259259,0.026234567901234573,2026-03-12T02:39:58.371231
A2,bci_iv_2a,mu_law,512,4096,proportional_V,456,0.2700617283950617,0.013425704198538047,0.26156925154320987,0.279128086419753,0.2700617283950617,0.02674897119341561,2026-03-12T02:39:58.372232
A2,bci_iv_2a,mu_law,512,4096,proportional_V,789,0.26948302469135804,0.015480248956588644,0.2594521604938272,0.2800925925925926,0.269483024691358,0.025977366255144057,2026-03-12T02:39:58.373231
A2,bci_iv_2a,mu_law,512,4096,proportional_V,2024,0.2673611111111111,0.01251927526202775,0.259447337962963,0.275270061728395,0.2673611111111111,0.023148148148148164,2026-03-12T02:39:58.374732
A2,bci_iv_2a,mu_law,512,513,fixed_V,42,0.26851851851851855,0.0162449870921507,0.2594521604938272,0.2802903163580247,0.26851851851851855,0.02469135802469137,2026-03-12T02:42:48.149151
A2,bci_iv_2a,mu_law,512,513,fixed_V,123,0.2698688271604939,0.014937083860035442,0.2609953703703704,0.2804783950617284,0.2698688271604939,0.026491769547325104,2026-03-12T02:42:48.151155
A2,bci_iv_2a,mu_law,512,513,fixed_V,456,0.2685185185185185,0.0157211547537108,0.25887345679012347,0.27816358024691357,0.26851851851851855,0.024691358024691343,2026-03-12T02:42:48.152156
A2,bci_iv_2a,mu_law,512,513,fixed_V,789,0.2712191358024691,0.015458599930284858,0.2627314814814815,0.2822145061728395,0.2712191358024691,0.02829218106995885,2026-03-12T02:42:48.153155
A2,bci_iv_2a,mu_law,512,513,fixed_V,2024,0.26851851851851855,0.014822046845909364,0.259447337962963,0.2789351851851852,0.26851851851851855,0.024691358024691357,2026-03-12T02:42:48.154155
A2,sleep_edf,mu_law,64,512,proportional_V,42,0.733246672417797,0.056659595448406264,0.6832930887617082,0.7832002560738855,0.5986216405702954,0.49776627303684745,2026-03-12T06:18:58.066536
A2,sleep_edf,mu_law,64,512,proportional_V,123,0.641774215378357,0.17300109140255468,0.489222882154674,0.7815940161565124,0.5268830655865269,0.40909304767096,2026-03-12T06:18:58.072042
A2,sleep_edf,mu_law,64,512,proportional_V,456,0.7781953270223867,0.09599976892035163,0.681266013622643,0.842695829324047,0.6490232236198381,0.5875681189642709,2026-03-12T06:18:58.073543
A2,sleep_edf,mu_law,64,512,proportional_V,789,0.7351210166133699,0.0389975903787707,0.7041781288990027,0.7689429030980136,0.5427642136742492,0.4878674990140651,2026-03-12T06:18:58.074542
A2,sleep_edf,mu_law,64,512,proportional_V,2024,0.6249436605187542,0.16327298359954356,0.46874682973602055,0.7471567022321913,0.5127297038393743,0.38703329758552674,2026-03-12T06:18:58.076043
A2,sleep_edf,mu_law,64,512,fixed_V,42,0.6428122208107045,0.16716472783293057,0.49422182149248195,0.7712261329484609,0.5336850951257874,0.41789875269623183,2026-03-12T06:31:28.688814
A2,sleep_edf,mu_law,64,512,fixed_V,123,0.748089271180709,0.09731628036707443,0.6519770793022286,0.8065988314192057,0.6183350417895765,0.5273326257924185,2026-03-12T06:31:28.694313
A2,sleep_edf,mu_law,64,512,fixed_V,456,0.7747813516783628,0.07878612816976668,0.6999370492072798,0.8362345920691107,0.6081985181525018,0.5679333598393822,2026-03-12T06:31:28.695814
A2,sleep_edf,mu_law,64,512,fixed_V,789,0.6661823336167264,0.19315960013643596,0.4983034839058406,0.8110318020104177,0.5834444307121542,0.46223788819168543,2026-03-12T06:31:28.696812
A2,sleep_edf,mu_law,64,512,fixed_V,2024,0.7372880789847936,0.08217703689804841,0.6659891243527528,0.8084959684039921,0.5554611576030601,0.504013892081262,2026-03-12T06:31:28.698312
A2,sleep_edf,mu_law,128,1024,proportional_V,42,0.684214293014647,0.08136340655214883,0.6166381656211626,0.7484472116892622,0.5451486833085509,0.4214976398469791,2026-03-12T06:54:55.435037
A2,sleep_edf,mu_law,128,1024,proportional_V,123,0.6691424386876809,0.0675401251274929,0.6115463965591238,0.726841299925755,0.5607624625605508,0.4024879784674992,2026-03-12T06:54:55.438537
A2,sleep_edf,mu_law,128,1024,proportional_V,456,0.6838169402724692,0.04903965017023242,0.6332919204789875,0.7189071400021151,0.5598339310404554,0.43201460533459174,2026-03-12T06:54:55.443536
A2,sleep_edf,mu_law,128,1024,proportional_V,789,0.7094250274848608,0.05480685416651101,0.6528764100265765,0.7549351951143658,0.5608672089163873,0.45360638004430526,2026-03-12T06:54:55.445037
A2,sleep_edf,mu_law,128,1024,proportional_V,2024,0.6895534031262945,0.05932194828833485,0.6388477427995312,0.7388277076028472,0.540983456987012,0.4226433454810642,2026-03-12T06:54:55.446537
A2,sleep_edf,mu_law,128,512,fixed_V,42,0.7117601082344047,0.04343282285482702,0.6672862489738135,0.7423584079413714,0.5575110956340564,0.44476940353827593,2026-03-12T07:07:48.533876
A2,sleep_edf,mu_law,128,512,fixed_V,123,0.7076519760260737,0.051402284900897884,0.6547839104042482,0.7437684379480484,0.5558859668639753,0.44499479366280054,2026-03-12T07:07:48.542880
A2,sleep_edf,mu_law,128,512,fixed_V,456,0.6853261631356912,0.059967085633935005,0.6265128963591267,0.7317334345032717,0.5506335472679424,0.4313150135469274,2026-03-12T07:07:48.544880
A2,sleep_edf,mu_law,128,512,fixed_V,789,0.7018623068127992,0.04757306656967062,0.6584226150693684,0.7419794040046872,0.5530423068505063,0.44058649375392933,2026-03-12T07:07:48.545880
A2,sleep_edf,mu_law,128,512,fixed_V,2024,0.6997026501133666,0.06304574480768071,0.6452086062788527,0.7552978282798707,0.5587404102014835,0.4425683486868537,2026-03-12T07:07:48.547380
A2,sleep_edf,mu_law,256,2048,proportional_V,42,0.6748375114121195,0.04576242794048705,0.6357585552098906,0.7153277393777484,0.5345005485687723,0.3899492101021053,2026-03-12T07:14:48.217919
