token_id,merge_level,length_base,duration_ms,dominant_freq_hz,spectral_entropy,hjorth_activity,hjorth_mobility,hjorth_complexity,band_delta,band_theta,band_alpha,band_beta,band_gamma
256,193,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,194,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,198,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,199,4,31.25,22.178042346202343,0.8631205685666311,0.0029296875,1.0886621079036347,0.9742785792574934,0.0,0.0,0.0,0.0,0.7142857142857141
263,200,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,202,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,203,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,204,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,205,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,206,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,207,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,208,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,209,5,39.0625,22.053155816871683,0.9182958340544897,0.0024999999999999996,1.0825317547305484,1.005662977687534,0.0,0.0,0.0,0.0,0.33333333333333326
273,210,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,211,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,213,5,39.0625,22.053155816871683,0.9182958340544897,0.0024999999999999996,1.0825317547305484,1.005662977687534,0.0,0.0,0.0,0.0,0.33333333333333326
280,217,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,218,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,219,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,221,4,31.25,22.178042346202343,0.8631205685666311,0.0029296875,1.0886621079036347,0.9742785792574934,0.0,0.0,0.0,0.0,0.7142857142857141
285,222,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,223,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,224,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,225,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,226,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,229,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,231,4,31.25,22.178042346202343,0.9182958340544897,0.0029296875,1.0886621079036347,0.9742785792574934,0.0,0.0,0.0,0.0,0.33333333333333326
297,234,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,236,4,31.25,11.58210487593933,1.301574289281613,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.5652173913043478
300,237,4,31.25,22.178042346202343,0.9182958340544897,0.0029296875,1.0886621079036347,0.9742785792574934,0.0,0.0,0.0,0.0,0.33333333333333326
301,238,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,240,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,244,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,246,4,31.25,11.58210487593933,1.301574289281613,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.5652173913043478
312,249,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,250,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,251,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,258,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,261,4,31.25,33.26706351930351,1.251629167387823,0.00390625,1.632993161855452,0.0,0.0,0.0,0.0,0.0,0.6666666666666667
325,262,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,263,4,31.25,11.58210487593933,1.301574289281613,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.5652173913043478
327,264,5,39.0625,22.053155816871683,0.9182958340544897,0.0024999999999999996,1.0825317547305484,1.005662977687534,0.0,0.0,0.0,0.0,0.33333333333333326
329,266,32,250.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,269,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,271,4,31.25,11.58210487593933,1.301574289281613,0.0107421875,0.5685352436149612,1.865601444574912,0.0,0.0,0.0,0.0,0.5652173913043478
338,275,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,279,16,125.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,281,4,31.25,33.26706351930351,1.251629167387823,0.00390625,1.632993161855452,0.0,0.0,0.0,0.0,0.0,0.6666666666666667
345,282,4,31.25,13.581221810508401,1.2344977967946407,0.0234375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
347,284,4,31.25,33.26706351930351,1.251629167387823,0.00390625,1.632993161855452,0.0,0.0,0.0,0.0,0.0,0.6666666666666667
349,286,4,31.25,13.581221810508401,1.2344977967946407,0.0234375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
