dataset,vocab_size,compression_ratio,accuracy_mean,accuracy_std,n_folds,samples_per_second,trials_per_second,wall_time_50_trials,timestamp
mental_arithmetic,32768,2.217391507312724,0.5266666666666666,0.08537498983243796,5,233679.7910900929,6.149468186581393,8.130784400040284,2026-03-10T10:11:30.148797
mental_arithmetic,65536,2.407397552563625,0.4866666666666667,0.0581186525805423,5,115347.5773708603,3.0354625623910603,16.47195410000859,2026-03-10T10:13:36.830391
epfl_p300,512,1.2619958548040742,0.6216435185185185,0.03348569858315926,5,1117259.352025461,338.9743179688898,0.14750379999168217,2026-03-10T10:14:32.964160
epfl_p300,1024,1.3380649080902176,0.6221064814814815,0.036942877995195536,5,969531.5303745251,294.15398373013505,0.16997899999842048,2026-03-10T10:15:48.113327
epfl_p300,2048,1.4180044394300824,0.6197916666666667,0.03836591699810687,5,703603.5774327778,213.47195917256607,0.23422280000522733,2026-03-10T10:18:17.830860
epfl_p300,4096,1.503068133901419,0.6221064814814815,0.03965704096993477,5,477774.49857815576,144.95585515113947,0.3449325999827124,2026-03-10T10:22:56.997651
epfl_p300,8192,1.5917736361485386,0.6273148148148149,0.04094507627617762,5,270895.3518942824,82.18912375433324,0.6083529999596067,2026-03-10T10:31:54.073139
epfl_p300,16384,1.6893042715240745,0.6252314814814814,0.045666432931725884,5,150345.7587562363,45.614611273129945,1.0961399999796413,2026-03-10T10:52:27.290248
epfl_p300,32768,1.7933221962715697,0.6278935185185185,0.04756648747230211,5,24181.55594380612,7.336637118873216,6.815111499978229,2026-03-10T11:47:36.987965
epfl_p300,65536,1.9029839974596088,0.7099724097239717,0.047060073558489186,5,12906.794476512925,3.915896382437174,12.768468599999323,2026-03-10T14:29:23.070781
ssvep_nakanishi,512,4.556967203335231,0.08,0.012472191289246475,5,4392874.393476067,492.9167856234366,0.10143700003391132,2026-03-10T14:29:36.068786
ssvep_nakanishi,1024,5.321822004799778,0.08888888888888889,0.006085806194501844,5,3893124.3022184744,436.8406981842992,0.11445819999789819,2026-03-10T14:29:53.051059
ssvep_nakanishi,2048,6.048855093088025,0.08777777777777777,0.009558139185602919,5,2967633.744456901,332.9930144139252,0.15015330002643168,2026-03-10T14:30:23.163264
ssvep_nakanishi,4096,6.799437449295413,0.0811111111111111,0.005665577237325319,5,1664927.3852953792,186.81860247928404,0.2676393000292592,2026-03-10T14:31:20.941683
ssvep_nakanishi,8192,7.5568046383977405,0.07777777777777778,0.004969039949999533,5,1067868.8659156566,119.8237057804821,0.4172796999919228,2026-03-10T14:33:12.282295
ssvep_nakanishi,16384,8.403204633245084,0.07777777777777778,0.0060858061945018496,5,649670.4555423221,72.89839043338445,0.685886199993547,2026-03-10T14:37:08.814537
ssvep_nakanishi,32768,9.217996515439179,0.07888888888888888,0.005443310539518175,5,289085.1040370173,32.437736090329594,1.5414145999820903,2026-03-10T14:44:59.577951
ssvep_nakanishi,65536,10.044041609741498,0.08,0.011439589045541114,5,71925.15522570901,8.07059641222049,6.195329000009224,2026-03-10T15:02:42.313543
bci_iv_2a,128,1.0802855609191186,0.24421296296296294,0.009113435039365512,3,1657850.1938665821,75.28154544848707,0.6641734000295401,2026-03-21T21:33:20.072606
bci_iv_2a,256,1.101103418187406,0.24247685185185186,0.005901642955547206,3,1590145.1724304275,72.20711890066423,0.6924524999922141,2026-03-21T21:34:05.974603
physionet_mi,128,1.091493494717721,0.24444444444444446,0.02400274332743653,3,1153839.4793940804,25.00518982736825,1.9995848999824375,2026-03-21T21:34:24.112757
physionet_mi,256,1.1094685241275697,0.23703703703703702,0.020951312035156967,3,1103159.6784202883,23.906893169649106,2.0914470000425354,2026-03-21T21:34:43.727952
sleep_edf,128,1.0836108079341984,0.7535759412440249,0.07665323736851824,3,1631954.9842973007,271.99249738288347,0.18382859998382628,2026-03-21T21:35:03.329588
sleep_edf,256,1.09879879925709,0.7410770356600208,0.05986446320122549,3,1482548.9166302765,247.09148610504607,0.20235420000972226,2026-03-21T21:35:22.563593
mental_arithmetic,128,1.1876035029441803,0.4444444444444445,0.0415739709641549,3,1259410.9482876544,33.142393375990906,1.508641800028272,2026-03-21T21:35:29.815525
mental_arithmetic,256,1.2614968656229195,0.4666666666666666,0.04714045207910316,3,1026540.8905477668,27.01423396178334,1.8508761000121012,2026-03-21T21:35:38.638731
epfl_p300,128,1.1295001618249625,0.6365740740740741,0.04595019162431129,3,1592910.773786342,483.2860357361474,0.10345840000081807,2026-03-21T21:36:10.783224
epfl_p300,256,1.1757641984500649,0.6284722222222222,0.03524237453476496,3,1391735.5564898716,422.2498654398882,0.11841330002062023,2026-03-21T21:36:48.505338
ssvep_nakanishi,128,1.8162138661570302,0.06296296296296296,0.005237828008789242,3,1624755.2019128278,182.31095174066738,0.27425670000957325,2026-03-21T21:37:02.108655
ssvep_nakanishi,256,3.466682610471478,0.06481481481481481,0.005237828008789238,3,1492374.8551759303,167.45678357001012,0.29858450003666803,2026-03-21T21:37:24.746963
