experiment,dataset,tokenizer,transform,vocab_size,n_bins,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
S1,bci_iv_2a,BPE,raw,256,64,42,0.2517361111111111,0.01859071574561227,0.22743055555555555,0.2725694444444444,0.2517361111111111,0.0023148148148148064,2026-03-22T02:37:44.953701
S1,bci_iv_2a,BPE,raw,256,64,123,0.2511574074074074,0.015614279587074112,0.23263888888888892,0.2708333333333333,0.2511574074074074,0.0015432098765432167,2026-03-22T02:37:44.954706
S1,bci_iv_2a,BPE,raw,256,64,456,0.2534722222222222,0.01634773945813139,0.23263888888888892,0.2725694444444444,0.2534722222222222,0.004629629629629613,2026-03-22T02:37:44.955706
S1,bci_iv_2a,BPE,raw,256,64,789,0.2511574074074074,0.015678492111277843,0.2309027777777778,0.2690972222222222,0.2511574074074074,0.0015432098765431797,2026-03-22T02:37:44.956206
S1,bci_iv_2a,BPE,raw,256,64,2024,0.2534722222222222,0.01634773945813139,0.23263888888888892,0.2725694444444444,0.2534722222222222,0.004629629629629613,2026-03-22T02:37:44.957206
S1,bci_iv_2a,BPE,log,256,64,42,0.2667824074074074,0.007274192760403106,0.2569444444444444,0.2743055555555556,0.2667824074074074,0.02237654320987655,2026-03-22T02:39:40.830645
S1,bci_iv_2a,BPE,log,256,64,123,0.2673611111111111,0.006495932963149201,0.2586805555555556,0.2743055555555556,0.2673611111111111,0.02314814814814814,2026-03-22T02:39:40.831646
S1,bci_iv_2a,BPE,log,256,64,456,0.2673611111111111,0.006178864729184765,0.2586805555555556,0.2725694444444444,0.2673611111111111,0.02314814814814814,2026-03-22T02:39:40.832145
S1,bci_iv_2a,BPE,log,256,64,789,0.26620370370370366,0.006547285010986554,0.2569444444444444,0.2708333333333333,0.2662037037037037,0.02160493827160496,2026-03-22T02:39:40.833145
S1,bci_iv_2a,BPE,log,256,64,2024,0.26851851851851855,0.005901642955547202,0.2604166666666667,0.2743055555555556,0.26851851851851855,0.024691358024691357,2026-03-22T02:39:40.833646
S1,bci_iv_2a,BPE,log,256,64,42,0.2679398148148148,0.008060409882629713,0.2569444444444444,0.2760416666666667,0.2679398148148148,0.023919753086419766,2026-03-22T02:40:57.749201
S1,bci_iv_2a,BPE,log,256,64,123,0.2679398148148148,0.007807139793537075,0.2569444444444444,0.2743055555555556,0.2679398148148148,0.023919753086419766,2026-03-22T02:40:57.750701
S1,bci_iv_2a,BPE,log,256,64,456,0.2673611111111111,0.00736569563735987,0.2569444444444444,0.2725694444444444,0.2673611111111111,0.02314814814814814,2026-03-22T02:40:57.751702
S1,bci_iv_2a,BPE,log,256,64,789,0.2679398148148148,0.009223019357933593,0.2569444444444444,0.2795138888888889,0.2679398148148148,0.023919753086419766,2026-03-22T02:40:57.752203
S1,bci_iv_2a,BPE,log,256,64,2024,0.26851851851851855,0.005901642955547202,0.2604166666666667,0.2743055555555556,0.26851851851851855,0.024691358024691357,2026-03-22T02:40:57.753202
S1,bci_iv_2a,BPE,binary,256,64,42,0.2662037037037037,0.00995639498500305,0.2534722222222222,0.2777777777777778,0.2662037037037037,0.02160493827160496,2026-03-22T02:41:17.531145
S1,bci_iv_2a,BPE,binary,256,64,123,0.2667824074074074,0.004092053131866579,0.2638888888888889,0.2725694444444444,0.2667824074074074,0.022376543209876514,2026-03-22T02:41:17.532144
S1,bci_iv_2a,BPE,binary,256,64,456,0.2667824074074074,0.008544457789486936,0.2569444444444444,0.2777777777777778,0.2667824074074074,0.022376543209876587,2026-03-22T02:41:17.533144
S1,bci_iv_2a,BPE,binary,256,64,789,0.2662037037037037,0.008184106263733186,0.2604166666666667,0.2777777777777778,0.26620370370370366,0.021604938271604923,2026-03-22T02:41:17.533644
S1,bci_iv_2a,BPE,binary,256,64,2024,0.2667824074074074,0.011803285911094412,0.2552083333333333,0.2829861111111111,0.2667824074074074,0.02237654320987655,2026-03-22T02:41:17.534644
S1,bci_iv_2a,Raw,raw,256,64,42,0.24305555555555558,0.008852464433320802,0.2309027777777778,0.2517361111111111,0.24305555555555558,-0.009259259259259264,2026-03-22T02:41:26.368785
S1,bci_iv_2a,Raw,raw,256,64,123,0.24594907407407407,0.005901642955547209,0.2378472222222222,0.2517361111111111,0.24594907407407407,-0.005401234567901277,2026-03-22T02:41:26.369786
S1,bci_iv_2a,Raw,raw,256,64,456,0.24479166666666663,0.011602973180418643,0.22916666666666666,0.2569444444444444,0.24479166666666666,-0.00694444444444442,2026-03-22T02:41:26.370786
S1,bci_iv_2a,Raw,raw,256,64,789,0.24247685185185186,0.007807139793537056,0.23263888888888892,0.2517361111111111,0.24247685185185186,-0.01003086419753089,2026-03-22T02:41:26.371787
S1,bci_iv_2a,Raw,raw,256,64,2024,0.24826388888888884,0.011071253744044543,0.23263888888888892,0.2569444444444444,0.24826388888888892,-0.0023148148148148064,2026-03-22T02:41:26.372286
S1,bci_iv_2a,Raw,raw,256,64,42,0.24479166666666663,0.011602973180418643,0.22916666666666666,0.2569444444444444,0.24479166666666666,-0.00694444444444442,2026-03-22T02:41:29.522459
S1,bci_iv_2a,Raw,raw,256,64,123,0.24537037037037035,0.010826554938581992,0.2309027777777778,0.2569444444444444,0.24537037037037038,-0.006172839506172867,2026-03-22T02:41:29.522960
S1,bci_iv_2a,Raw,raw,256,64,456,0.24305555555555558,0.011602973180418651,0.2309027777777778,0.2586805555555556,0.24305555555555558,-0.009259259259259264,2026-03-22T02:41:29.526961
S1,bci_iv_2a,Raw,raw,256,64,789,0.24594907407407404,0.009648918981789961,0.23263888888888892,0.2552083333333333,0.2459490740740741,-0.00540123456790124,2026-03-22T02:41:29.529965
S1,bci_iv_2a,Raw,raw,256,64,2024,0.2476851851851852,0.009223019357933593,0.23611111111111108,0.2586805555555556,0.2476851851851852,-0.0030864197530864703,2026-03-22T02:41:29.533465
S1,bci_iv_2a,Raw,log,256,64,42,0.24016203703703706,0.0008184106263733161,0.23958333333333334,0.24131944444444445,0.240162037037037,-0.013117283950617287,2026-03-22T02:43:58.656525
S1,bci_iv_2a,Raw,log,256,64,123,0.24016203703703706,0.0021653109877164036,0.2378472222222222,0.24305555555555555,0.24016203703703706,-0.013117283950617287,2026-03-22T02:43:58.657525
S1,bci_iv_2a,Raw,log,256,64,456,0.24074074074074073,0.0016368212527466321,0.23958333333333334,0.24305555555555555,0.2407407407407407,-0.01234567901234566,2026-03-22T02:43:58.658525
S1,bci_iv_2a,Raw,log,256,64,789,0.24016203703703706,0.0008184106263733161,0.23958333333333334,0.24131944444444445,0.240162037037037,-0.013117283950617287,2026-03-22T02:43:58.658525
S1,bci_iv_2a,Raw,log,256,64,2024,0.23958333333333334,0.001417528786332864,0.2378472222222222,0.24131944444444445,0.23958333333333334,-0.013888888888888914,2026-03-22T02:43:58.660034
S1,bci_iv_2a,Raw,log,256,64,42,0.24074074074074073,0.0021653109877164058,0.2378472222222222,0.24305555555555555,0.2407407407407407,-0.012345679012345734,2026-03-22T02:44:00.521355
S1,bci_iv_2a,Raw,log,256,64,123,0.24016203703703706,0.0021653109877164036,0.2378472222222222,0.24305555555555555,0.24016203703703706,-0.013117283950617287,2026-03-22T02:44:00.522355
S1,bci_iv_2a,Raw,log,256,64,456,0.24016203703703706,0.0021653109877164036,0.2378472222222222,0.24305555555555555,0.24016203703703706,-0.013117283950617287,2026-03-22T02:44:00.522855
S1,bci_iv_2a,Raw,log,256,64,789,0.24016203703703706,0.0008184106263733161,0.23958333333333334,0.24131944444444445,0.24016203703703706,-0.013117283950617287,2026-03-22T02:44:00.523855
S1,bci_iv_2a,Raw,log,256,64,2024,0.24016203703703706,0.0008184106263733161,0.23958333333333334,0.24131944444444445,0.240162037037037,-0.013117283950617287,2026-03-22T02:44:00.524357
S1,bci_iv_2a,Raw,binary,256,64,42,0.25,0.0,0.25,0.25,0.25,0.0,2026-03-22T02:46:42.978833
S1,bci_iv_2a,Raw,binary,256,64,123,0.25,0.0,0.25,0.25,0.25,0.0,2026-03-22T02:46:42.979833
S1,bci_iv_2a,Raw,binary,256,64,456,0.25,0.0,0.25,0.25,0.25,0.0,2026-03-22T02:46:42.980834
S1,bci_iv_2a,Raw,binary,256,64,789,0.25,0.0,0.25,0.25,0.25,0.0,2026-03-22T02:46:42.980834
S1,bci_iv_2a,Raw,binary,256,64,2024,0.25,0.0,0.25,0.25,0.25,0.0,2026-03-22T02:46:42.982340
S1,bci_iv_2a,Raw,binary,256,64,42,0.25,0.0,0.25,0.25,0.25,0.0,2026-03-22T02:46:44.960540
S1,bci_iv_2a,Raw,binary,256,64,123,0.25,0.0,0.25,0.25,0.25,0.0,2026-03-22T02:46:44.961539
S1,bci_iv_2a,Raw,binary,256,64,456,0.25,0.0,0.25,0.25,0.25,0.0,2026-03-22T02:46:44.962539
S1,bci_iv_2a,Raw,binary,256,64,789,0.25,0.0,0.25,0.25,0.25,0.0,2026-03-22T02:46:44.963039
S1,bci_iv_2a,Raw,binary,256,64,2024,0.25,0.0,0.25,0.25,0.25,0.0,2026-03-22T02:46:44.964039
