dataset,classifier,acc_mean,acc_ci,kap_mean,kap_ci,acc_std,n_seeds
epfl_p300,BPE_Seq_CNN,0.8333449074074075,3.2129629629593556e-05,0.00011547344110854,0.00032055427251730703,2.588041640621851e-05,5
epfl_p300,BPE_Seq_CW_Transformer,0.8344328703703703,0.0018344864966652755,0.051604874413709124,0.015202223108645028,0.001477678858194884,5
epfl_p300,BPE_Seq_Transformer,0.833275462962963,7.184403594380041e-05,0.00034493474395487993,0.0003776684762502883,5.7870370370416424e-05,5
epfl_p300,BPE_WindowedSeq_CNN,0.8309606481481481,0.001061980254948161,0.0781385944399329,0.011687518119245552,0.0008554250867531145,5
epfl_p300,BPE_Windowed_LogReg,0.7262037037037037,0.00019935910903518027,0.258171921576316,0.0003846294384557979,0.00016058376071197969,5
epfl_p300,Chronos_Binning,0.8333333333333334,0.0,0.0,0.0,0.0,5
epfl_p300,EEGNet,0.8803009259259259,0.0021103077296905515,0.5022658042121863,0.008621034798311477,0.0016998528591611402,5
epfl_p300,PSD_LogReg,0.6556944444444445,3.935059910858111e-05,0.12971469090348098,3.2837390321963496e-05,3.169690726301513e-05,5
epfl_p300,Patching_LogReg,0.8328125,0.0,0.0066653428640063,0.0,0.0,5
epfl_p300,VQ_LogReg,0.8333333333333334,0.0,0.0,0.0,0.0,5
mental_arithmetic,BPE_Bigram_LogReg,0.5463809523809523,0.023975950821897803,0.09276190476190471,0.04795190164379547,0.019312628192707293,5
mental_arithmetic,BPE_Hist_LogReg,0.6046428571428571,0.013974884300122658,0.20928571428571424,0.027949768600245273,0.011256769190478688,5
mental_arithmetic,BPE_Hist_RF,0.5437619047619048,0.02396683875199594,0.08752380952380948,0.047933677503991794,0.019305288420475197,5
mental_arithmetic,BPE_Seq_CNN,0.5054285714285713,0.017612737795243277,0.01085714285714286,0.035225475590486464,0.014187060151312589,5
mental_arithmetic,BPE_Seq_CW_Transformer,0.49866666666666665,0.0056456322338360124,-0.0026666666666666796,0.011291264467671897,0.004547556718595574,5
mental_arithmetic,BPE_Seq_Transformer,0.512357142857143,0.0051180082718966105,0.02471428571428568,0.010236016543793176,0.004122555621529917,5
mental_arithmetic,BPE_WindowedSeq_CNN,0.5946904761904763,0.01860337334976995,0.18938095238095234,0.03720674669953987,0.014985017082454461,5
mental_arithmetic,BPE_Windowed_LogReg,0.5585,0.01448322980290688,0.11699999999999997,0.02896645960581376,0.011666241488851104,5
mental_arithmetic,Chronos_Binning,0.5794285714285715,0.009575487026801983,0.1588571428571428,0.01915097405360402,0.007713054722477157,5
mental_arithmetic,EEGNet,0.5025000000000001,0.006939999999999975,0.005,0.013879999999999998,0.005590169943749454,5
mental_arithmetic,PSD_LogReg,0.6822619047619047,0.014352714496708824,0.3645238095238096,0.028705428993417673,0.011561111410766434,5
mental_arithmetic,Patching_LogReg,0.5,0.0,0.0,0.0,0.0,5
mental_arithmetic,VQ_LogReg,0.6554285714285715,0.012572697275086791,0.31085714285714283,0.02514539455017361,0.010127307553177391,5
physionet_mi,BPE_Bigram_LogReg,0.2665411213921478,0.0021200371914567727,0.022219316569416517,0.0027597542775122837,0.0017076899405349714,5
physionet_mi,BPE_Hist_LogReg,0.32080580460681773,0.003989352588707936,0.09442578926964955,0.005339017020016826,0.0032134234778694905,5
physionet_mi,BPE_Hist_RF,0.2632651538137985,0.004266150577597012,0.01762194426322348,0.005679269691035895,0.0034363842556761207,5
physionet_mi,BPE_Seq_CNN,0.26552897791677765,0.004356430583081923,0.020751978507736378,0.005819902607551881,0.003509104799362473,5
physionet_mi,BPE_Seq_CW_Transformer,0.27973484476919885,0.0037416018766192913,0.03982117757529754,0.005155751091849931,0.003013860281290172,5
physionet_mi,BPE_Seq_Transformer,0.26911031395752893,0.004779531093660456,0.02529326396388624,0.006745706800127891,0.003849912257204141,5
physionet_mi,BPE_WindowedSeq_CNN,0.3731722494559281,0.006607281026335058,0.1643331362640125,0.008939864623079927,0.005322164813159139,5
physionet_mi,BPE_Windowed_LogReg,0.42697728791840206,0.004776589557338748,0.2359688712829747,0.006350076755979378,0.0038475428497208473,5
physionet_mi,CSP_LDA,0.25493592726030306,0.0009623658991443694,0.006141361905982599,0.0011834648220324945,0.0007751857239605608,5
physionet_mi,Chronos_Binning,0.3178602922051321,0.003908544964760811,0.09042322563828106,0.005245647596481437,0.0031483329374350486,5
physionet_mi,EEGNet,0.5817131860262761,0.01027525842104399,0.44221887323713227,0.013740950905830857,0.008276720574867263,5
physionet_mi,PSD_LogReg,0.3387007463978686,0.003354983000483185,0.11823957218167654,0.004290261720079159,0.002702438779696186,5
physionet_mi,Patching_LogReg,0.2522174487013126,0.00012618692925025557,0.0,0.0,0.00010164357048830262,5
physionet_mi,VQ_LogReg,0.3225518591837176,0.007294940818210826,0.09641029733617176,0.009844006108170003,0.005876074769941407,5
