ablation,dataset,condition,corpus_size,vocab_size,n_bins,method,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A12,bci_iv_2a,corpus_1000,1000,256,64,adaptive,456,0.25289351851851855,0.015289172237989486,0.23958333333333334,0.2743055555555556,0.25289351851851855,0.0038580246913580605,2026-03-22T02:38:50.253705
A12,bci_iv_2a,corpus_1000,1000,256,64,adaptive,789,0.25810185185185186,0.006698979689114716,0.2517361111111111,0.2673611111111111,0.25810185185185186,0.010802469135802443,2026-03-22T02:38:50.254205
A12,bci_iv_2a,corpus_1000,1000,256,64,adaptive,2024,0.2546296296296296,0.012705149537094982,0.24479166666666666,0.2725694444444444,0.2546296296296296,0.006172839506172867,2026-03-22T02:38:50.255205
A12,bci_iv_2a,corpus_2000,2000,256,64,adaptive,42,0.25,0.003750428644911943,0.2465277777777778,0.2552083333333333,0.25,0.0,2026-03-22T02:40:23.344888
A12,bci_iv_2a,corpus_2000,2000,256,64,adaptive,123,0.25462962962962965,0.006391991329390776,0.2465277777777778,0.2621527777777778,0.25462962962962965,0.006172839506172867,2026-03-22T02:40:23.345888
A12,bci_iv_2a,corpus_2000,2000,256,64,adaptive,456,0.2523148148148148,0.007807139793537068,0.24305555555555555,0.2621527777777778,0.2523148148148148,0.0030864197530863966,2026-03-22T02:40:23.346388
A12,bci_iv_2a,corpus_2000,2000,256,64,adaptive,789,0.2476851851851852,0.0065472850109865414,0.24305555555555555,0.2569444444444444,0.2476851851851852,-0.0030864197530864335,2026-03-22T02:40:23.347390
A12,bci_iv_2a,corpus_2000,2000,256,64,adaptive,2024,0.2517361111111111,0.0064959329631492126,0.24305555555555555,0.2586805555555556,0.2517361111111111,0.0023148148148148064,2026-03-22T02:40:23.347894
A12,bci_iv_2a,corpus_5000,5000,256,64,adaptive,42,0.25752314814814814,0.0032736425054932902,0.2552083333333333,0.2621527777777778,0.25752314814814814,0.010030864197530853,2026-03-22T02:41:58.592958
A12,bci_iv_2a,corpus_5000,5000,256,64,adaptive,123,0.25752314814814814,0.009438371776794026,0.25,0.2708333333333333,0.25752314814814814,0.010030864197530853,2026-03-22T02:41:58.593961
A12,bci_iv_2a,corpus_5000,5000,256,64,adaptive,456,0.2633101851851852,0.011803285911094412,0.2517361111111111,0.2795138888888889,0.2633101851851852,0.0177469135802469,2026-03-22T02:41:58.594961
A12,bci_iv_2a,corpus_5000,5000,256,64,adaptive,789,0.26099537037037035,0.00830596070278201,0.2534722222222222,0.2725694444444444,0.26099537037037035,0.014660493827160503,2026-03-22T02:41:58.595461
A12,bci_iv_2a,corpus_5000,5000,256,64,adaptive,2024,0.25983796296296297,0.009956394985003027,0.24826388888888892,0.2725694444444444,0.25983796296296297,0.01311728395061725,2026-03-22T02:41:58.596461
A12,bci_iv_2a,corpus_5000,5000,256,64,adaptive,42,0.25925925925925924,0.010056798146402052,0.24826388888888892,0.2725694444444444,0.25925925925925924,0.01234567901234566,2026-03-22T02:41:59.965031
A12,bci_iv_2a,corpus_5000,5000,256,64,adaptive,123,0.261574074074074,0.006547285010986554,0.2569444444444444,0.2708333333333333,0.261574074074074,0.015432098765432131,2026-03-22T02:41:59.966535
A12,bci_iv_2a,corpus_5000,5000,256,64,adaptive,456,0.2633101851851852,0.00995639498500305,0.2517361111111111,0.2760416666666667,0.2633101851851852,0.0177469135802469,2026-03-22T02:41:59.966535
A12,bci_iv_2a,corpus_5000,5000,256,64,adaptive,789,0.26157407407407407,0.008060409882629689,0.2534722222222222,0.2725694444444444,0.26157407407407407,0.015432098765432093,2026-03-22T02:41:59.968042
A12,bci_iv_2a,corpus_5000,5000,256,64,adaptive,2024,0.2609953703703704,0.010733354740157078,0.2517361111111111,0.2760416666666667,0.2609953703703704,0.014660493827160467,2026-03-22T02:41:59.968542
A12,bci_iv_2a,corpus_all,38016,256,64,adaptive,42,0.25,0.007365695637359857,0.23958333333333334,0.2552083333333333,0.25,0.0,2026-03-22T02:43:11.583925
A12,bci_iv_2a,corpus_all,38016,256,64,adaptive,123,0.24826388888888887,0.006495932963149191,0.24131944444444445,0.2569444444444444,0.24826388888888892,-0.0023148148148148064,2026-03-22T02:43:11.584929
A12,bci_iv_2a,corpus_all,38016,256,64,adaptive,456,0.2511574074074074,0.009648918981789979,0.2378472222222222,0.2604166666666667,0.2511574074074074,0.0015432098765431797,2026-03-22T02:43:11.585930
A12,bci_iv_2a,corpus_all,38016,256,64,adaptive,789,0.254050925925926,0.011545102629201403,0.2378472222222222,0.2638888888888889,0.254050925925926,0.005401234567901203,2026-03-22T02:43:11.586928
A12,bci_iv_2a,corpus_all,38016,256,64,adaptive,2024,0.2505787037037037,0.007134738429362249,0.24131944444444445,0.2586805555555556,0.2505787037037037,0.0007716049382715529,2026-03-22T02:43:11.587429
