dataset,method,n_bins,sqnr_db_mean,sqnr_db_ci_low,sqnr_db_ci_high,corr_mean,corr_ci_low,corr_ci_high,mse_mean,rmse_mean,spectral_distortion_pct,timestamp
sleep_edf,adaptive,128,22.47833181389334,21.244418010014694,23.793149613836913,0.9964904044470055,0.9952749087023479,0.9974727539966723,2.748613615059575e-12,1.6578943316929385e-06,"{'delta': {'mean': 2.5760418052613234, 'ci_low': 1.2061722743116976, 'ci_high': 4.028781951528958}, 'theta': {'mean': 2.2396342799257267, 'ci_low': 1.651362984312771, 'ci_high': 2.8829173540766453}, 'alpha': {'mean': 2.798961445801271, 'ci_low': 1.9723711011419824, 'ci_high': 3.5970161386545767}, 'beta': {'mean': 4.355826110645528, 'ci_low': 2.5000051373535794, 'ci_high': 6.736854072406977}, 'gamma': {'mean': 4.417381844956859, 'ci_low': 2.4662569446826175, 'ci_high': 7.209876448175298}}",2026-03-07T16:41:46.103882
sleep_edf,adaptive,256,25.569423082553964,23.907963187668802,27.061009920306095,0.9980975819536251,0.997297473844048,0.9987220132198091,1.3488532952000892e-12,1.1614014358524313e-06,"{'delta': {'mean': 1.778966276155402, 'ci_low': 0.7193628736809261, 'ci_high': 3.0191123526467445}, 'theta': {'mean': 1.3534597896480716, 'ci_low': 0.8714890624594619, 'ci_high': 1.9116094233431375}, 'alpha': {'mean': 1.4402005134326574, 'ci_low': 1.0032534484251943, 'ci_high': 1.8861025139213803}, 'beta': {'mean': 2.1768954871780553, 'ci_low': 1.2814256710741874, 'ci_high': 3.31088348007498}, 'gamma': {'mean': 2.3739842754122296, 'ci_low': 1.2650288563200647, 'ci_high': 3.880128790841005}}",2026-03-07T16:41:46.104882
sleep_edf,adaptive,512,28.895142618252397,27.137919304269804,30.663765308350847,0.9989694368788375,0.9984723685716587,0.9994073641190749,6.475271724660691e-13,8.046907309433041e-07,"{'delta': {'mean': 1.0626267933759401, 'ci_low': 0.382988696049344, 'ci_high': 1.9340881305405597}, 'theta': {'mean': 0.717075354594512, 'ci_low': 0.3317173788368745, 'ci_high': 1.1710795762286412}, 'alpha': {'mean': 0.6597637007298223, 'ci_low': 0.40781010347432506, 'ci_high': 0.8828940781474353}, 'beta': {'mean': 1.1993444894840617, 'ci_low': 0.7416587937900514, 'ci_high': 1.7768344704002046}, 'gamma': {'mean': 1.2093832937544386, 'ci_low': 0.7060011958187496, 'ci_high': 1.8104788030659293}}",2026-03-07T16:41:46.105382
sleep_edf,adaptive,1024,32.910245307970946,30.401515481843223,35.321545811541284,0.999492134467781,0.9992109831739551,0.9997087709878095,2.817310425422977e-13,5.307834233868817e-07,"{'delta': {'mean': 0.46900543564385694, 'ci_low': 0.16198593716346393, 'ci_high': 0.8771034572042471}, 'theta': {'mean': 0.3796940479207789, 'ci_low': 0.18354294086070547, 'ci_high': 0.572545848608452}, 'alpha': {'mean': 0.3094836281629773, 'ci_low': 0.18259915276280975, 'ci_high': 0.457817802277385}, 'beta': {'mean': 0.599820600854485, 'ci_low': 0.3546914816541522, 'ci_high': 0.9031456899498516}, 'gamma': {'mean': 0.5640283077228471, 'ci_low': 0.3100086536649698, 'ci_high': 0.913651090396643}}",2026-03-07T16:41:46.106382
mental_arithmetic,uniform,32,22.083665834486883,21.786324857802114,22.346252484617896,0.9958168151600594,0.9939493585507093,0.9968898020080768,2.8914848640066163e-12,1.7004366686256258e-06,"{'delta': {'mean': 1.2488260814734446, 'ci_low': 0.45806928756864507, 'ci_high': 2.6046759715544137}, 'theta': {'mean': 0.6422944069066805, 'ci_low': 0.35642325942617364, 'ci_high': 1.105445739281835}, 'alpha': {'mean': 0.3949811767193417, 'ci_low': 0.27041458461214546, 'ci_high': 0.5673001961827908}, 'beta': {'mean': 0.5745942850381016, 'ci_low': 0.3087198019999189, 'ci_high': 0.9910301650097126}, 'gamma': {'mean': 3.080959146076621, 'ci_low': 2.3770927906606074, 'ci_high': 3.7424355547706054}}",2026-03-07T16:41:55.484281
mental_arithmetic,uniform,64,27.21965158462903,26.73339314121884,27.608881987423683,0.9978446382038131,0.9956906917282431,0.9989172535453287,2.337371755513622e-12,1.5288465441350293e-06,"{'delta': {'mean': 1.1948967409658482, 'ci_low': 0.39606572940180274, 'ci_high': 2.5471565804556433}, 'theta': {'mean': 0.6060080035415142, 'ci_low': 0.3176649273805329, 'ci_high': 1.081201491386836}, 'alpha': {'mean': 0.3810621952143704, 'ci_low': 0.24913217868409968, 'ci_high': 0.5823427617764865}, 'beta': {'mean': 0.5100779495104748, 'ci_low': 0.2252402396447935, 'ci_high': 0.9795836102372607}, 'gamma': {'mean': 1.0683685375614524, 'ci_low': 0.6639979456798025, 'ci_high': 1.7119437039763075}}",2026-03-07T16:41:55.485795
mental_arithmetic,uniform,128,31.50680585124771,30.88962990118591,32.14927675188664,0.9983668206911452,0.9966612931034364,0.9994607120731468,2.1888847837810806e-12,1.4794880140714493e-06,"{'delta': {'mean': 1.1751911869491023, 'ci_low': 0.38396664655322144, 'ci_high': 2.531025797415921}, 'theta': {'mean': 0.5881916788646103, 'ci_low': 0.3037442831602306, 'ci_high': 1.0579196881190347}, 'alpha': {'mean': 0.3670072366631373, 'ci_low': 0.23338014211133878, 'ci_high': 0.5540283814856259}, 'beta': {'mean': 0.5139956864412187, 'ci_low': 0.2272032955940469, 'ci_high': 0.9824087882444933}, 'gamma': {'mean': 0.7054818336807318, 'ci_low': 0.27450913439274327, 'ci_high': 1.4615085012314526}}",2026-03-07T16:41:55.486296
mental_arithmetic,uniform,256,34.62278478879684,33.756022153207866,35.532367058464516,0.9985041805150744,0.9967144401923651,0.9995805317985782,2.1467647183205944e-12,1.4651841926258263e-06,"{'delta': {'mean': 1.1634800800319263, 'ci_low': 0.3895864537972977, 'ci_high': 2.5286772527196524}, 'theta': {'mean': 0.5796493402700433, 'ci_low': 0.29633255422480453, 'ci_high': 1.0511731692506712}, 'alpha': {'mean': 0.3577936010687378, 'ci_low': 0.2196159311578684, 'ci_high': 0.5436117302802981}, 'beta': {'mean': 0.5168551770648793, 'ci_low': 0.23048494175584583, 'ci_high': 0.993329659783737}, 'gamma': {'mean': 0.6481186532130419, 'ci_low': 0.21131207303761018, 'ci_high': 1.413852663821689}}",2026-03-07T16:41:55.486795
mental_arithmetic,uniform,512,36.59908041012653,35.46813099795836,37.62152154047693,0.9985419475923155,0.9964608843705108,0.9995480563244057,2.133754231304651e-12,1.460737564145131e-06,"{'delta': {'mean': 1.157734909777295, 'ci_low': 0.38012899538569384, 'ci_high': 2.4806763312367046}, 'theta': {'mean': 0.5741576259256211, 'ci_low': 0.28411480964193464, 'ci_high': 1.0391548602475789}, 'alpha': {'mean': 0.35319767999655804, 'ci_low': 0.2175482377792552, 'ci_high': 0.5389765109566762}, 'beta': {'mean': 0.5153466031124664, 'ci_low': 0.22691255578746475, 'ci_high': 0.9933398441855597}, 'gamma': {'mean': 0.6434209918294098, 'ci_low': 0.19462748840145688, 'ci_high': 1.422838678578875}}",2026-03-07T16:41:55.487795
mental_arithmetic,uniform,1024,37.768218567244645,36.538901042800894,39.079057430474066,0.9985531087663808,0.9967318322487108,0.9995831686580823,2.1292574384507317e-12,1.4591975323617882e-06,"{'delta': {'mean': 1.15362194862111, 'ci_low': 0.3753373919486781, 'ci_high': 2.4943026152544223}, 'theta': {'mean': 0.5717692724445469, 'ci_low': 0.28882851432394696, 'ci_high': 1.0366456129358692}, 'alpha': {'mean': 0.35090198674576867, 'ci_low': 0.2134949455741595, 'ci_high': 0.5343363667216389}, 'beta': {'mean': 0.5123452039892479, 'ci_low': 0.21707413178141383, 'ci_high': 0.9914633063505398}, 'gamma': {'mean': 0.6409292879254438, 'ci_low': 0.1920393457168136, 'ci_high': 1.4240952943523326}}",2026-03-07T16:41:55.488797
mental_arithmetic,mu_law,32,19.140939913251145,18.90153313447738,19.343408110906573,0.992766063276065,0.9906322017927549,0.9940428385844077,3.890812722581733e-12,1.9725143149244147e-06,"{'delta': {'mean': 1.681443508090568, 'ci_low': 0.8379225249404227, 'ci_high': 3.1095395954602556}, 'theta': {'mean': 0.8972512603440783, 'ci_low': 0.6372704283860742, 'ci_high': 1.3217280451812643}, 'alpha': {'mean': 0.7477920806513361, 'ci_low': 0.6404463508019578, 'ci_high': 0.8997193863652642}, 'beta': {'mean': 1.8308489020056684, 'ci_low': 1.4508081344548789, 'ci_high': 2.2145998897496852}, 'gamma': {'mean': 9.163884439399522, 'ci_low': 7.265203350793096, 'ci_high': 11.150867076954267}}",2026-03-07T16:41:55.489296
mental_arithmetic,mu_law,64,24.48663610958469,24.098785263781675,24.821398448005738,0.9969484023416378,0.9950017486891488,0.998097621902095,2.6777016976148146e-12,1.636368448001493e-06,"{'delta': {'mean': 1.3213473866107013, 'ci_low': 0.48049281826737544, 'ci_high': 2.725989644688542}, 'theta': {'mean': 0.6383186249092749, 'ci_low': 0.3389753637805788, 'ci_high': 1.123353143821822}, 'alpha': {'mean': 0.41063562492938355, 'ci_low': 0.2785787013311467, 'ci_high': 0.6018313934552066}, 'beta': {'mean': 0.6074389725707627, 'ci_low': 0.3089980403490103, 'ci_high': 1.0571050544201397}, 'gamma': {'mean': 2.0237358854676204, 'ci_low': 1.5118619195003908, 'ci_high': 2.714178146733955}}",2026-03-07T16:41:55.490295
mental_arithmetic,mu_law,128,29.186709443606397,28.592839640686726,29.713765691499248,0.9980796577952276,0.9963093515758131,0.9991802069480891,2.3195554032366245e-12,1.5230086681423138e-06,"{'delta': {'mean': 1.2514702426792617, 'ci_low': 0.43681955207161316, 'ci_high': 2.643882779800243}, 'theta': {'mean': 0.6319996725530206, 'ci_low': 0.33543504166294663, 'ci_high': 1.11049927697313}, 'alpha': {'mean': 0.3919863901673108, 'ci_low': 0.24771513966107506, 'ci_high': 0.5927869317158682}, 'beta': {'mean': 0.5414912972142574, 'ci_low': 0.24028709544809324, 'ci_high': 1.0565625710399968}, 'gamma': {'mean': 0.8993455938953293, 'ci_low': 0.45982531518966124, 'ci_high': 1.6626559376658014}}",2026-03-07T16:41:55.490795
