experiment,dataset,classifier,transform,vocab_size,n_bins,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
S2,sleep_edf,BPE_Hist_binary_LogReg,binary,256,64,789,0.7853186125264622,0.08715995479345053,0.6620567375886525,0.8473609129814551,0.5653112319592452,0.6108082099783244,2026-03-22T03:00:09.879958
S2,sleep_edf,BPE_Hist_binary_LogReg,binary,256,64,2024,0.7857024224104986,0.05806582972856595,0.7056737588652483,0.8416547788873038,0.5620737071127152,0.601871721798027,2026-03-22T03:00:09.880960
S2,sleep_edf,BPE_Hist_binary_LogReg,binary,256,64,42,0.7469473911412717,0.11507158726821015,0.5858156028368794,0.8472519628836546,0.5741798236389178,0.5668468526016177,2026-03-22T03:00:30.033564
S2,sleep_edf,BPE_Hist_binary_LogReg,binary,256,64,123,0.7967809438154809,0.07132822617059767,0.6968085106382979,0.858416547788873,0.5917187165191713,0.6223545998019,2026-03-22T03:00:30.034564
S2,sleep_edf,BPE_Hist_binary_LogReg,binary,256,64,456,0.7496098359573468,0.13321195049725226,0.5613475177304964,0.8497501784439686,0.5659895117235448,0.5823911745433282,2026-03-22T03:00:30.035063
S2,sleep_edf,BPE_Hist_binary_LogReg,binary,256,64,789,0.778560012688386,0.09010383017048852,0.6514184397163121,0.8495007132667617,0.5891884860119687,0.6031593711349363,2026-03-22T03:00:30.036064
S2,sleep_edf,BPE_Hist_binary_LogReg,binary,256,64,2024,0.7601497234460602,0.12724430131032546,0.5808510638297872,0.8630527817403709,0.5755834071247086,0.587796585731971,2026-03-22T03:00:30.036565
S2,sleep_edf,BPE_Hist_binary_RF,binary,256,64,42,0.866593262016695,0.009985646029589762,0.8529621698786581,0.87660485021398,0.45039339316926874,0.7055993345834284,2026-03-22T03:00:32.542446
S2,sleep_edf,BPE_Hist_binary_RF,binary,256,64,123,0.866593262016695,0.009985646029589762,0.8529621698786581,0.87660485021398,0.45039339316926874,0.7055993345834284,2026-03-22T03:00:32.543447
S2,sleep_edf,BPE_Hist_binary_RF,binary,256,64,456,0.866593262016695,0.009985646029589762,0.8529621698786581,0.87660485021398,0.45039339316926874,0.7055993345834284,2026-03-22T03:00:32.543946
S2,sleep_edf,BPE_Hist_binary_RF,binary,256,64,789,0.866593262016695,0.009985646029589762,0.8529621698786581,0.87660485021398,0.45039339316926874,0.7055993345834284,2026-03-22T03:00:32.544947
S2,sleep_edf,BPE_Hist_binary_RF,binary,256,64,2024,0.866593262016695,0.009985646029589762,0.8529621698786581,0.87660485021398,0.45039339316926874,0.7055993345834283,2026-03-22T03:00:32.545947
S2,sleep_edf,BPE_Hist_binary_RF,binary,256,64,42,0.866593262016695,0.009985646029589762,0.8529621698786581,0.87660485021398,0.45039339316926874,0.7055993345834284,2026-03-22T03:00:53.481032
S2,sleep_edf,BPE_Hist_binary_RF,binary,256,64,123,0.866593262016695,0.009985646029589762,0.8529621698786581,0.87660485021398,0.45039339316926874,0.7055993345834284,2026-03-22T03:00:53.482032
S2,sleep_edf,BPE_Hist_binary_RF,binary,256,64,456,0.866593262016695,0.009985646029589762,0.8529621698786581,0.87660485021398,0.45039339316926874,0.7055993345834284,2026-03-22T03:00:53.483032
S2,sleep_edf,BPE_Hist_binary_RF,binary,256,64,789,0.866593262016695,0.009985646029589762,0.8529621698786581,0.87660485021398,0.45039339316926874,0.7055993345834284,2026-03-22T03:00:53.483532
S2,sleep_edf,BPE_Hist_binary_RF,binary,256,64,2024,0.866593262016695,0.009985646029589762,0.8529621698786581,0.87660485021398,0.45039339316926874,0.7055993345834283,2026-03-22T03:00:53.484532
S2,bci_iv_2a,BPE_Hist_log_LogReg,log,256,64,42,0.26851851851851855,0.00830596070278203,0.2569444444444444,0.2760416666666667,0.26851851851851855,0.024691358024691357,2026-03-22T03:02:03.401996
S2,bci_iv_2a,BPE_Hist_log_LogReg,log,256,64,123,0.2679398148148148,0.006698979689114708,0.2586805555555556,0.2743055555555556,0.2679398148148148,0.023919753086419766,2026-03-22T03:02:03.402997
S2,bci_iv_2a,BPE_Hist_log_LogReg,log,256,64,456,0.2690972222222222,0.00885246443332082,0.2569444444444444,0.2777777777777778,0.2690972222222222,0.025462962962962982,2026-03-22T03:02:03.404502
S2,bci_iv_2a,BPE_Hist_log_LogReg,log,256,64,789,0.2679398148148148,0.008060409882629713,0.2569444444444444,0.2760416666666667,0.2679398148148148,0.023919753086419766,2026-03-22T03:02:03.404502
S2,bci_iv_2a,BPE_Hist_log_LogReg,log,256,64,2024,0.2650462962962963,0.006992503456941304,0.2552083333333333,0.2708333333333333,0.26504629629629634,0.020061728395061706,2026-03-22T03:02:03.406009
S2,bci_iv_2a,BPE_Hist_log_LogReg,log,256,64,42,0.2673611111111111,0.006178864729184765,0.2586805555555556,0.2725694444444444,0.2673611111111111,0.02314814814814814,2026-03-22T03:02:25.020467
S2,bci_iv_2a,BPE_Hist_log_LogReg,log,256,64,123,0.2679398148148148,0.006391991329390777,0.2604166666666667,0.2760416666666667,0.2679398148148148,0.02391975308641973,2026-03-22T03:02:25.021466
S2,bci_iv_2a,BPE_Hist_log_LogReg,log,256,64,456,0.26909722222222227,0.008622490987124639,0.2569444444444444,0.2760416666666667,0.26909722222222227,0.025462962962962982,2026-03-22T03:02:25.022466
S2,bci_iv_2a,BPE_Hist_log_LogReg,log,256,64,789,0.2696759259259259,0.009438371776794045,0.2569444444444444,0.2795138888888889,0.2696759259259259,0.026234567901234573,2026-03-22T03:02:25.022966
S2,bci_iv_2a,BPE_Hist_log_LogReg,log,256,64,2024,0.26678240740740744,0.006391991329390776,0.2586805555555556,0.2743055555555556,0.26678240740740744,0.02237654320987655,2026-03-22T03:02:25.023467
S2,bci_iv_2a,BPE_Hist_log_RF,log,256,64,42,0.24305555555555555,0.007087643931664286,0.234375,0.2517361111111111,0.24305555555555555,-0.009259259259259264,2026-03-22T03:03:16.038765
S2,bci_iv_2a,BPE_Hist_log_RF,log,256,64,123,0.24305555555555555,0.007087643931664286,0.234375,0.2517361111111111,0.24305555555555555,-0.009259259259259264,2026-03-22T03:03:16.039764
S2,bci_iv_2a,BPE_Hist_log_RF,log,256,64,456,0.24305555555555555,0.007087643931664286,0.234375,0.2517361111111111,0.24305555555555555,-0.009259259259259264,2026-03-22T03:03:16.040768
S2,bci_iv_2a,BPE_Hist_log_RF,log,256,64,789,0.24305555555555555,0.007087643931664286,0.234375,0.2517361111111111,0.24305555555555555,-0.009259259259259264,2026-03-22T03:03:16.041272
S2,bci_iv_2a,BPE_Hist_log_RF,log,256,64,2024,0.24305555555555555,0.007087643931664286,0.234375,0.2517361111111111,0.24305555555555555,-0.009259259259259264,2026-03-22T03:03:16.042272
S2,bci_iv_2a,BPE_Hist_log_RF,log,256,64,42,0.24305555555555555,0.007087643931664286,0.234375,0.2517361111111111,0.24305555555555555,-0.009259259259259264,2026-03-22T03:03:36.692651
S2,bci_iv_2a,BPE_Hist_log_RF,log,256,64,123,0.24305555555555555,0.007087643931664286,0.234375,0.2517361111111111,0.24305555555555555,-0.009259259259259264,2026-03-22T03:03:36.694151
S2,bci_iv_2a,BPE_Hist_log_RF,log,256,64,456,0.24305555555555555,0.007087643931664286,0.234375,0.2517361111111111,0.24305555555555555,-0.009259259259259264,2026-03-22T03:03:36.695150
S2,bci_iv_2a,BPE_Hist_log_RF,log,256,64,789,0.24305555555555555,0.007087643931664286,0.234375,0.2517361111111111,0.24305555555555555,-0.009259259259259264,2026-03-22T03:03:36.695650
S2,bci_iv_2a,BPE_Hist_log_RF,log,256,64,2024,0.24305555555555555,0.007087643931664286,0.234375,0.2517361111111111,0.24305555555555555,-0.009259259259259264,2026-03-22T03:03:36.696650
S2,bci_iv_2a,BPE_Hist_binary_LogReg,binary,256,64,42,0.2633101851851852,0.009438371776794045,0.2534722222222222,0.2760416666666667,0.2633101851851852,0.0177469135802469,2026-03-22T03:04:25.997226
S2,bci_iv_2a,BPE_Hist_binary_LogReg,binary,256,64,123,0.26678240740740744,0.01286233262204448,0.2552083333333333,0.2847222222222222,0.2667824074074074,0.022376543209876514,2026-03-22T03:04:25.997726
S2,bci_iv_2a,BPE_Hist_binary_LogReg,binary,256,64,456,0.2621527777777778,0.005670115145331433,0.2552083333333333,0.2690972222222222,0.2621527777777778,0.016203703703703682,2026-03-22T03:04:25.998726
S2,bci_iv_2a,BPE_Hist_binary_LogReg,binary,256,64,789,0.2667824074074074,0.007807139793537059,0.2604166666666667,0.2777777777777778,0.2667824074074074,0.02237654320987655,2026-03-22T03:04:25.999725
S2,bci_iv_2a,BPE_Hist_binary_LogReg,binary,256,64,2024,0.265625,0.00992270150433001,0.2569444444444444,0.2795138888888889,0.26562499999999994,0.020833333333333332,2026-03-22T03:04:26.000224
S2,bci_iv_2a,BPE_Hist_binary_LogReg,binary,256,64,42,0.2633101851851852,0.008060409882629713,0.2552083333333333,0.2743055555555556,0.2633101851851852,0.0177469135802469,2026-03-22T03:04:45.547238
S2,bci_iv_2a,BPE_Hist_binary_LogReg,binary,256,64,123,0.2673611111111111,0.01022194544713872,0.2569444444444444,0.28125,0.2673611111111111,0.02314814814814814,2026-03-22T03:04:45.548238
S2,bci_iv_2a,BPE_Hist_binary_LogReg,binary,256,64,456,0.2644675925925926,0.009438371776794042,0.2569444444444444,0.2777777777777778,0.26446759259259256,0.019290123456790154,2026-03-22T03:04:45.549238
S2,bci_iv_2a,BPE_Hist_binary_LogReg,binary,256,64,789,0.26157407407407407,0.009113435039365542,0.2534722222222222,0.2743055555555556,0.261574074074074,0.015432098765432131,2026-03-22T03:04:45.549747
S2,bci_iv_2a,BPE_Hist_binary_LogReg,binary,256,64,2024,0.2679398148148148,0.008184106263733186,0.2621527777777778,0.2795138888888889,0.2679398148148148,0.023919753086419766,2026-03-22T03:04:45.550738
S2,bci_iv_2a,BPE_Hist_binary_RF,binary,256,64,42,0.2494212962962963,0.032520882681081296,0.2222222222222222,0.2951388888888889,0.2494212962962963,-0.0007716049382715898,2026-03-22T03:05:38.495101
S2,bci_iv_2a,BPE_Hist_binary_RF,binary,256,64,123,0.2494212962962963,0.032520882681081296,0.2222222222222222,0.2951388888888889,0.2494212962962963,-0.0007716049382715898,2026-03-22T03:05:38.496105
S2,bci_iv_2a,BPE_Hist_binary_RF,binary,256,64,456,0.2494212962962963,0.032520882681081296,0.2222222222222222,0.2951388888888889,0.2494212962962963,-0.0007716049382715898,2026-03-22T03:05:38.497108
S2,bci_iv_2a,BPE_Hist_binary_RF,binary,256,64,789,0.2494212962962963,0.032520882681081296,0.2222222222222222,0.2951388888888889,0.2494212962962963,-0.0007716049382715898,2026-03-22T03:05:38.497607
S2,bci_iv_2a,BPE_Hist_binary_RF,binary,256,64,2024,0.2494212962962963,0.032520882681081296,0.2222222222222222,0.2951388888888889,0.2494212962962963,-0.0007716049382715898,2026-03-22T03:05:38.498609
S2,bci_iv_2a,BPE_Hist_binary_RF,binary,256,64,42,0.2494212962962963,0.032520882681081296,0.2222222222222222,0.2951388888888889,0.2494212962962963,-0.0007716049382715898,2026-03-22T03:05:56.286359
S2,bci_iv_2a,BPE_Hist_binary_RF,binary,256,64,123,0.2494212962962963,0.032520882681081296,0.2222222222222222,0.2951388888888889,0.2494212962962963,-0.0007716049382715898,2026-03-22T03:05:56.290359
S2,bci_iv_2a,BPE_Hist_binary_RF,binary,256,64,456,0.2494212962962963,0.032520882681081296,0.2222222222222222,0.2951388888888889,0.2494212962962963,-0.0007716049382715898,2026-03-22T03:05:56.291360
S2,bci_iv_2a,BPE_Hist_binary_RF,binary,256,64,789,0.2494212962962963,0.032520882681081296,0.2222222222222222,0.2951388888888889,0.2494212962962963,-0.0007716049382715898,2026-03-22T03:05:56.292359
S2,bci_iv_2a,BPE_Hist_binary_RF,binary,256,64,2024,0.2494212962962963,0.032520882681081296,0.2222222222222222,0.2951388888888889,0.2494212962962963,-0.0007716049382715898,2026-03-22T03:05:56.292859
