dataset,vocab_size,seed,fold,accuracy,balanced_accuracy,kappa
bci_iv_2a,2048,2024,3,0.2916666666666667,0.2916666666666667,0.05555555555555558
bci_iv_2a,2048,2024,4,0.24305555555555555,0.24305555555555558,-0.0092592592592593
bci_iv_2a,2048,2024,5,0.2760416666666667,0.2760416666666667,0.03472222222222221
bci_iv_2a,2048,2024,6,0.2725694444444444,0.2725694444444444,0.03009259259259256
bci_iv_2a,2048,2024,7,0.2986111111111111,0.2986111111111111,0.06481481481481477
bci_iv_2a,2048,2024,8,0.2517361111111111,0.2517361111111111,0.0023148148148147696
physionet_mi,2048,42,0,0.3195329087048832,0.31930140110097693,0.09240711528098944
physionet_mi,2048,42,1,0.3354632587859425,0.3355451965573013,0.11400158922532455
physionet_mi,2048,42,2,0.3185935002663825,0.3189700939340019,0.09172413975750637
physionet_mi,2048,42,3,0.3238993710691824,0.3241980881085751,0.09884934251281796
physionet_mi,2048,42,4,0.3153914590747331,0.3154076248878525,0.08722979374450401
physionet_mi,2048,123,0,0.3286237571951858,0.32862706833031713,0.10479874691475222
physionet_mi,2048,123,1,0.3333333333333333,0.3340161226808717,0.11163274983161298
physionet_mi,2048,123,2,0.2873015873015873,0.2873481728940656,0.049664149937623026
physionet_mi,2048,123,3,0.32199787460148777,0.32192195541700513,0.09591956976374283
physionet_mi,2048,123,4,0.30710773357174787,0.30695256676081645,0.07586595838644938
physionet_mi,2048,456,0,0.3379383634431456,0.33816487384925004,0.11758831183785401
physionet_mi,2048,456,1,0.32914046121593293,0.3292377834993562,0.10551373516798535
physionet_mi,2048,456,2,0.30605738575983,0.30619286959717995,0.07481631963225899
physionet_mi,2048,456,3,0.31576144834930775,0.3153642838249679,0.08726613660277505
physionet_mi,2048,456,4,0.31714922048997773,0.31755014711199525,0.08984344318676762
physionet_mi,2048,789,0,0.3159574468085106,0.31561341735428433,0.08751848415929253
physionet_mi,2048,789,1,0.32497387669801464,0.3249439266879195,0.09984591488808725
physionet_mi,2048,789,2,0.3165618448637317,0.31627524543097324,0.08860292097541678
