dataset,vocab_size,seed,fold,accuracy,balanced_accuracy,kappa
sleep_edf,1024,123,1,0.7113420695887935,0.5759171467407129,0.5140749332165333
sleep_edf,1024,123,2,0.7176659125188537,0.5861130859853201,0.5110493731486865
sleep_edf,1024,123,3,0.6987798215261337,0.5818124108231723,0.4708538717540265
sleep_edf,1024,123,4,0.8010588657573582,0.6423516167220272,0.6024438147767219
sleep_edf,1024,456,0,0.7117342217286693,0.590232049545215,0.49168959729805484
sleep_edf,1024,456,1,0.8229596412556054,0.6449805367807946,0.6344152207350506
sleep_edf,1024,456,2,0.6994276515829011,0.5736282858757116,0.4850375877036256
sleep_edf,1024,456,3,0.6170588782438843,0.5664855813290873,0.3884420055249571
sleep_edf,1024,456,4,0.6702187324733595,0.5749486037369499,0.424865564149042
sleep_edf,1024,789,0,0.7910067358456218,0.6002331846752638,0.5905052190183748
sleep_edf,1024,789,1,0.7839455030838627,0.6450876188358593,0.5675396389951659
sleep_edf,1024,789,2,0.5984099103263382,0.5413513751351666,0.3767490260196438
sleep_edf,1024,789,3,0.7477072633895818,0.62772789564953,0.5461182729355393
sleep_edf,1024,789,4,0.615503313061632,0.5027750548834485,0.38159452289111406
sleep_edf,1024,2024,0,0.5898527914082029,0.5408667133127593,0.36805395371823957
sleep_edf,1024,2024,1,0.7418372993912562,0.6055922976186581,0.5214865102964555
sleep_edf,1024,2024,2,0.661042944785276,0.5656219979761985,0.41744219634257007
sleep_edf,1024,2024,3,0.7858237893407881,0.623661953288978,0.602971260117448
sleep_edf,1024,2024,4,0.8273140841147526,0.6459591726455652,0.662005087319393
mental_arithmetic,1024,42,0,0.638095238095238,0.638095238095238,0.2761904761904762
mental_arithmetic,1024,42,1,0.6095238095238096,0.6095238095238096,0.21904761904761905
mental_arithmetic,1024,42,2,0.638095238095238,0.638095238095238,0.2761904761904762
mental_arithmetic,1024,42,3,0.5142857142857142,0.5142857142857142,0.02857142857142858
mental_arithmetic,1024,42,4,0.6375,0.6375,0.275
mental_arithmetic,1024,123,0,0.6142857142857143,0.6142857142857143,0.22857142857142854
mental_arithmetic,1024,123,1,0.6095238095238096,0.6095238095238096,0.21904761904761905
mental_arithmetic,1024,123,2,0.5380952380952381,0.5380952380952381,0.07619047619047614
mental_arithmetic,1024,123,3,0.5619047619047619,0.5619047619047619,0.12380952380952381
mental_arithmetic,1024,123,4,0.6458333333333334,0.6458333333333333,0.29166666666666663
mental_arithmetic,1024,456,0,0.5095238095238095,0.5095238095238095,0.01904761904761909
mental_arithmetic,1024,456,1,0.638095238095238,0.638095238095238,0.2761904761904762
mental_arithmetic,1024,456,2,0.5285714285714286,0.5285714285714286,0.05714285714285716
