dataset,classifier,vocab_size,n_codes,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa
physionet_mi,Spatial_BPE_LogReg,1024,128,42,5fold-subject,3,0.34738445911630267,0.34723422297194456,0.3466770711583339,0.12980801308573353
physionet_mi,Spatial_BPE_LogReg,1024,128,42,5fold-subject,4,0.3275862068965517,0.3275153143191032,0.32631634770437223,0.10338679215522761
physionet_mi,Spatial_BPE_RF,1024,128,42,5fold-subject,0,0.3571054011536445,0.35657975366781425,0.3532026959574826,0.14244979551414894
physionet_mi,Spatial_BPE_RF,1024,128,42,5fold-subject,1,0.33468765871000505,0.33488003864866267,0.3337494306602131,0.11309843909671435
physionet_mi,Spatial_BPE_RF,1024,128,42,5fold-subject,2,0.3195146612740142,0.31942566686889173,0.3183746304977213,0.09259313538705038
physionet_mi,Spatial_BPE_RF,1024,128,42,5fold-subject,3,0.3367191467750127,0.3365654928380849,0.3348318717132776,0.11555990445416264
physionet_mi,Spatial_BPE_RF,1024,128,42,5fold-subject,4,0.3204868154158215,0.3208671091823889,0.3189354786085167,0.09428799015071432
physionet_mi,Spatial_BPE_LogReg,1024,128,123,5fold-subject,0,0.33927635028841113,0.3393217903847755,0.3396907793334797,0.11912855014487989
physionet_mi,Spatial_BPE_LogReg,1024,128,123,5fold-subject,1,0.33570340274250887,0.33563672912927955,0.3360740907167823,0.11422071121612487
physionet_mi,Spatial_BPE_LogReg,1024,128,123,5fold-subject,2,0.32153690596562184,0.3214543855990445,0.3198016654166672,0.09530207197977447
physionet_mi,Spatial_BPE_LogReg,1024,128,123,5fold-subject,3,0.33062468257998984,0.3303670865172862,0.3303283264914607,0.10743150728512718
physionet_mi,Spatial_BPE_LogReg,1024,128,123,5fold-subject,4,0.2936105476673428,0.2937864536696784,0.2932539960158345,0.058215852989577654
physionet_mi,Spatial_BPE_RF,1024,128,123,5fold-subject,0,0.35762978500262194,0.3573011899998809,0.35573555545752095,0.14326239314045142
physionet_mi,Spatial_BPE_RF,1024,128,123,5fold-subject,1,0.32706957846622653,0.3271495473073036,0.32565046745600745,0.1029372172099342
