dataset,approach,seed,fold,accuracy,macro_f1,kappa,compression_ratio,mean_token_len_ms
epfl_p300,multiband_alpha_beta,42,7,0.5792824074074074,0.46192779908640597,-0.023943661971830954,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,42,8,0.6105324074074074,0.5118305974801186,0.07808219178082187,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,42,9,0.5856481481481481,0.49382069543359863,0.054577464788732266,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,123,0,0.5833333333333334,0.47110316072995384,-0.003717472118959231,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,123,1,0.6168981481481481,0.48681341752935287,0.008982035928143728,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,123,2,0.5891203703703703,0.48124344619964143,0.01752767527675292,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,123,3,0.5798611111111112,0.48550843509471847,0.03798586572438167,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,123,4,0.5873842592592593,0.48213957715025957,0.02150045745654172,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,123,5,0.5665509259259259,0.46693355574089523,0.0013333333333332975,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,123,6,0.5931712962962963,0.47969084285796887,0.009859154929577452,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,123,7,0.5862268518518519,0.4693383006988472,-0.010838831291234863,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,123,8,0.6116898148148148,0.5151715858757296,0.08583106267029972,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,123,9,0.5746527777777778,0.4813237254946002,0.03204565408252846,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,456,0,0.5972222222222222,0.4837991934362398,0.016949152542372836,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,456,1,0.6122685185185185,0.4830246913580247,0.0029761904761904656,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,456,2,0.5844907407407407,0.473992673992674,0.002777777777777768,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,456,3,0.5798611111111112,0.4757693419871597,0.011796733212341315,3.405416666666667,1.1891276041666667
epfl_p300,multiband_alpha_beta,456,4,0.5839120370370371,0.4784638924044655,0.015068493150684925,3.405416666666667,1.1891276041666667
