ablation,dataset,n_bins,vocab_size,classifier,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A9,bci_iv_2a,64,256,LogReg,2024,0.2725694444444444,0.016672292003342512,0.26156925154320987,0.2837577160493827,0.2725694444444444,0.030092592592592584,2026-03-12T03:57:28.770725
A9,bci_iv_2a,64,256,RF,42,0.24845679012345678,0.010778329509798602,0.24112654320987653,0.2550154320987654,0.24845679012345676,-0.0020576131687242644,2026-03-12T03:57:28.771725
A9,bci_iv_2a,64,256,RF,123,0.24845679012345678,0.010778329509798602,0.2415123456790123,0.2552131558641975,0.24845679012345676,-0.0020576131687242644,2026-03-12T03:57:28.772727
A9,bci_iv_2a,64,256,RF,456,0.24845679012345678,0.010778329509798602,0.24131944444444445,0.2554012345679012,0.24845679012345676,-0.0020576131687242644,2026-03-12T03:57:28.773725
A9,bci_iv_2a,64,256,RF,789,0.24845679012345678,0.010778329509798602,0.24093364197530864,0.25540123456790126,0.24845679012345676,-0.0020576131687242644,2026-03-12T03:57:28.774725
A9,bci_iv_2a,64,256,RF,2024,0.24845679012345678,0.010778329509798602,0.24151234567901236,0.2554012345679012,0.24845679012345676,-0.0020576131687242644,2026-03-12T03:57:28.775225
A9,bci_iv_2a,64,512,LogReg,42,0.2798996913580247,0.020716910063015216,0.26639660493827155,0.29398148148148145,0.2798996913580247,0.039866255144032935,2026-03-12T04:04:29.804766
A9,bci_iv_2a,64,512,LogReg,123,0.28009259259259256,0.0191235088447434,0.26871141975308643,0.293407600308642,0.28009259259259267,0.040123456790123475,2026-03-12T04:04:29.806266
A9,bci_iv_2a,64,512,LogReg,456,0.28163580246913583,0.020538320454021847,0.26851851851851855,0.2943721064814815,0.28163580246913583,0.042181069958847725,2026-03-12T04:04:29.807266
A9,bci_iv_2a,64,512,LogReg,789,0.2806712962962963,0.018876743553588066,0.26870659722222223,0.2935956790123456,0.2806712962962963,0.04089506172839505,2026-03-12T04:04:29.808266
A9,bci_iv_2a,64,512,LogReg,2024,0.28240740740740744,0.01933251514871535,0.2700520833333333,0.2957175925925926,0.28240740740740744,0.043209876543209874,2026-03-12T04:04:29.809266
A9,bci_iv_2a,64,512,RF,42,0.25617283950617287,0.018896445827559352,0.24382716049382713,0.267554012345679,0.25617283950617287,0.008230452674897094,2026-03-12T04:04:29.810266
A9,bci_iv_2a,64,512,RF,123,0.25617283950617287,0.018896445827559352,0.24440104166666665,0.2698688271604938,0.25617283950617287,0.008230452674897094,2026-03-12T04:04:29.811266
A9,bci_iv_2a,64,512,RF,456,0.25617283950617287,0.018896445827559352,0.24478684413580246,0.26871141975308643,0.25617283950617287,0.008230452674897094,2026-03-12T04:04:29.812266
A9,bci_iv_2a,64,512,RF,789,0.25617283950617287,0.018896445827559352,0.24421296296296294,0.26910686728395067,0.25617283950617287,0.008230452674897094,2026-03-12T04:04:29.813266
A9,bci_iv_2a,64,512,RF,2024,0.25617283950617287,0.018896445827559352,0.24479166666666666,0.26871141975308643,0.25617283950617287,0.008230452674897094,2026-03-12T04:04:29.814266
A9,bci_iv_2a,64,1024,LogReg,42,0.2770061728395061,0.023380075271798903,0.26079282407407406,0.29147376543209874,0.2770061728395061,0.03600823045267487,2026-03-12T04:12:03.581164
A9,bci_iv_2a,64,1024,LogReg,123,0.2764274691358024,0.020472992533058027,0.2633053626543209,0.2891589506172839,0.2764274691358024,0.03523662551440327,2026-03-12T04:12:03.583169
A9,bci_iv_2a,64,1024,LogReg,456,0.27642746913580246,0.021757685894434452,0.2621479552469136,0.2903211805555555,0.2764274691358024,0.03523662551440327,2026-03-12T04:12:03.584168
A9,bci_iv_2a,64,1024,LogReg,789,0.27739197530864196,0.021680588454054194,0.26291956018518514,0.291478587962963,0.27739197530864196,0.036522633744855953,2026-03-12T04:12:03.585170
A9,bci_iv_2a,64,1024,LogReg,2024,0.2766203703703704,0.022308258411338405,0.2611882716049383,0.29128086419753085,0.2766203703703704,0.03549382716049384,2026-03-12T04:12:03.586169
A9,bci_iv_2a,64,1024,RF,42,0.2532793209876544,0.0212856700989718,0.24189814814814817,0.26929012345679015,0.2532793209876544,0.004372427983539071,2026-03-12T04:12:03.587170
A9,bci_iv_2a,64,1024,RF,123,0.2532793209876544,0.0212856700989718,0.24170524691358025,0.2681327160493827,0.2532793209876544,0.004372427983539071,2026-03-12T04:12:03.588170
A9,bci_iv_2a,64,1024,RF,456,0.2532793209876544,0.0212856700989718,0.24170524691358025,0.26833043981481486,0.2532793209876544,0.004372427983539071,2026-03-12T04:12:03.589170
A9,bci_iv_2a,64,1024,RF,789,0.2532793209876544,0.0212856700989718,0.24131462191358025,0.2691020447530864,0.2532793209876544,0.004372427983539071,2026-03-12T04:12:03.589670
A9,bci_iv_2a,64,1024,RF,2024,0.2532793209876544,0.0212856700989718,0.24227912808641977,0.26968074845679013,0.2532793209876544,0.004372427983539071,2026-03-12T04:12:03.590671
A9,bci_iv_2a,128,128,LogReg,42,0.271604938271605,0.015702207889636367,0.261376350308642,0.28241222993827164,0.271604938271605,0.028806584362139898,2026-03-12T04:18:40.281333
A9,bci_iv_2a,128,128,LogReg,123,0.27044753086419754,0.016546833575622952,0.26080246913580246,0.28067611882716054,0.27044753086419754,0.027263374485596705,2026-03-12T04:18:40.283837
A9,bci_iv_2a,128,128,LogReg,456,0.27199074074074076,0.01671241791457598,0.2613811728395062,0.2827932098765432,0.27199074074074076,0.02932098765432097,2026-03-12T04:18:40.284837
A9,bci_iv_2a,128,128,LogReg,789,0.2702546296296296,0.016792382093225585,0.259837962962963,0.28144772376543203,0.2702546296296296,0.0270061728395062,2026-03-12T04:18:40.285837
A9,bci_iv_2a,128,128,LogReg,2024,0.27199074074074076,0.018060748303619485,0.2604166666666667,0.2829909336419753,0.27199074074074076,0.029320987654320983,2026-03-12T04:18:40.286837
A9,bci_iv_2a,128,128,RF,42,0.25983796296296297,0.02218783508412132,0.2457561728395062,0.27372685185185186,0.25983796296296297,0.013117283950617299,2026-03-12T04:18:40.287841
A9,bci_iv_2a,128,128,RF,123,0.25983796296296297,0.02218783508412132,0.2461371527777778,0.27488908179012345,0.25983796296296297,0.013117283950617299,2026-03-12T04:18:40.288839
A9,bci_iv_2a,128,128,RF,456,0.25983796296296297,0.02218783508412132,0.24594907407407407,0.27470100308641976,0.25983796296296297,0.013117283950617299,2026-03-12T04:18:40.289837
A9,bci_iv_2a,128,128,RF,789,0.25983796296296297,0.02218783508412132,0.24613715277777776,0.27353395061728397,0.25983796296296297,0.013117283950617299,2026-03-12T04:18:40.290837
A9,bci_iv_2a,128,128,RF,2024,0.25983796296296297,0.02218783508412132,0.245751350308642,0.2744984567901234,0.25983796296296297,0.013117283950617299,2026-03-12T04:18:40.291837
A9,bci_iv_2a,128,256,LogReg,42,0.2681327160493827,0.011372996121129377,0.26099054783950615,0.2748890817901235,0.2681327160493827,0.024176954732510296,2026-03-12T04:25:26.546150
A9,bci_iv_2a,128,256,LogReg,123,0.2681327160493827,0.011863033843766815,0.26060474537037037,0.27565586419753085,0.2681327160493827,0.024176954732510286,2026-03-12T04:25:26.549155
