dataset,classifier,vocab_size,n_bins,method,with_envelope,seed,cv_strategy,n_folds,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,macro_f1_mean,kappa_mean,timestamp
physionet_mi,CSP_BPE_LogReg,512,64,adaptive,False,2024,5fold-subject,3,0.2777777777777778,0.05443310539518174,0.2111111111111111,0.3444444444444444,0.2780718677457808,0.23628465486731645,0.03851630259259453,2026-03-21T22:23:30.794852
physionet_mi,CSP_Envelope_BPE_LogReg,512,64,adaptive,True,42,5fold-subject,3,0.23703703703703705,0.036664796061524695,0.18888888888888888,0.2777777777777778,0.23576800614844093,0.21800779311082677,-0.017691983279575624,2026-03-21T22:23:38.226406
physionet_mi,CSP_Envelope_BPE_LogReg,512,64,adaptive,True,123,5fold-subject,3,0.24074074074074073,0.03777051491550211,0.18888888888888888,0.2777777777777778,0.2387441966246314,0.22249269874039965,-0.013449043807833405,2026-03-21T22:23:46.634462
physionet_mi,CSP_Envelope_BPE_LogReg,512,64,adaptive,True,456,5fold-subject,3,0.24444444444444444,0.045360921162651446,0.18888888888888888,0.3,0.2433574879227053,0.22786962312700168,-0.007357404494480746,2026-03-21T22:23:54.172002
physionet_mi,CSP_Envelope_BPE_LogReg,512,64,adaptive,True,789,5fold-subject,3,0.24444444444444446,0.03628873693012114,0.20000000000000004,0.28888888888888886,0.2426987263943786,0.22336014111762056,-0.008171777801477265,2026-03-21T22:24:01.580593
physionet_mi,CSP_Envelope_BPE_LogReg,512,64,adaptive,True,2024,5fold-subject,3,0.24444444444444444,0.045360921162651446,0.18888888888888888,0.3,0.24286341677646028,0.2255042219829855,-0.00812245761666027,2026-03-21T22:24:09.927183
physionet_mi,CSP_BPE_Seq_CNN,512,64,adaptive,False,42,5fold-subject,3,0.2740740740740741,0.02283116297395917,0.24444444444444444,0.3,0.27443691574126355,0.19662002527360936,0.032865464459777526,2026-03-21T22:24:21.472260
physionet_mi,CSP_BPE_Seq_CNN,512,64,adaptive,False,123,5fold-subject,3,0.24444444444444446,0.027216552697590872,0.2111111111111111,0.2777777777777778,0.24437896041156915,0.16121745032159848,-0.005169058826682504,2026-03-21T22:24:34.121899
physionet_mi,CSP_BPE_Seq_CNN,512,64,adaptive,False,456,5fold-subject,3,0.25555555555555554,0.01814436846506058,0.2333333333333333,0.2777777777777778,0.251921387790953,0.13578722633458656,0.0030119429650177962,2026-03-21T22:24:46.060466
physionet_mi,CSP_BPE_Seq_CNN,512,64,adaptive,False,789,5fold-subject,3,0.2333333333333333,0.02400274332743651,0.20000000000000004,0.25555555555555554,0.23660518225735616,0.14419838045469105,-0.017188492124114257,2026-03-21T22:24:57.793518
physionet_mi,CSP_BPE_Seq_CNN,512,64,adaptive,False,2024,5fold-subject,3,0.24444444444444446,0.02400274332743653,0.2222222222222222,0.2777777777777778,0.25094108789760966,0.15750797581716117,0.0021564768046112106,2026-03-21T22:25:10.463659
