ablation,dataset,condition,n_windows,window_sec,vocab_size,n_bins,method,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A13,sleep_edf,nwin_10,10,3.0,256,64,adaptive,456,0.7582612559562092,0.12410961443633273,0.5830188679245283,0.8543897216274091,0.6213538242806632,0.5854140927732617,2026-03-22T02:26:21.578455
A13,sleep_edf,nwin_10,10,3.0,256,64,adaptive,789,0.6808253634956745,0.11964340526542666,0.5373584905660377,0.8302425106990015,0.5380919705172835,0.4692747807626611,2026-03-22T02:26:21.579454
A13,sleep_edf,nwin_10,10,3.0,256,64,adaptive,2024,0.7308209705903321,0.11720800859267619,0.5652830188679245,0.8209700427960057,0.6138242057235131,0.541980706439832,2026-03-22T02:26:21.579954
A13,sleep_edf,nwin_10,10,3.0,256,64,adaptive,42,0.7136633111150829,0.15749300332113125,0.4913207547169811,0.8361884368308351,0.6001549679274198,0.5310672238687494,2026-03-22T02:28:10.295777
A13,sleep_edf,nwin_10,10,3.0,256,64,adaptive,123,0.6877816251321396,0.18368517879291635,0.4286792452830189,0.8334522111269614,0.5905509323724112,0.5107144113200547,2026-03-22T02:28:10.297281
A13,sleep_edf,nwin_10,10,3.0,256,64,adaptive,456,0.6647668921625661,0.14880414807930176,0.4716981132075471,0.8338088445078459,0.5222076127347018,0.45942310944240417,2026-03-22T02:28:10.297781
A13,sleep_edf,nwin_10,10,3.0,256,64,adaptive,789,0.7208254857467393,0.14804793505814637,0.5128301886792452,0.845577746077033,0.6091802812497448,0.5377398574978113,2026-03-22T02:28:10.298781
A13,sleep_edf,nwin_10,10,3.0,256,64,adaptive,2024,0.7522512236457458,0.09936717045212448,0.6124528301886792,0.834522111269615,0.6283998430395753,0.5661774820670548,2026-03-22T02:28:10.299781
A13,sleep_edf,nwin_20,20,1.5,256,64,adaptive,42,0.7399421263843037,0.14364967464692993,0.5369811320754717,0.8490364025695931,0.5831534131052464,0.5610102742071201,2026-03-22T02:34:21.375506
A13,sleep_edf,nwin_20,20,1.5,256,64,adaptive,123,0.7661770793931139,0.09123069882384076,0.6388679245283019,0.8479657387580298,0.595053512132648,0.5801442001427098,2026-03-22T02:34:21.376510
A13,sleep_edf,nwin_20,20,1.5,256,64,adaptive,456,0.7528592033589084,0.11310215429718559,0.5935849056603774,0.8452211126961484,0.6049713251430372,0.5701358666860178,2026-03-22T02:34:21.377508
A13,sleep_edf,nwin_20,20,1.5,256,64,adaptive,789,0.7032063794127823,0.19106428802002362,0.4332075471698113,0.8473609129814551,0.5926955293878406,0.536482157977304,2026-03-22T02:34:21.378009
