dataset,classifier,vocab_size,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,2024,LOSO,3,0.2743055555555556,0.2743055555555556,0.2706091912214348,0.03240740740740744
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,2024,LOSO,4,0.2638888888888889,0.26388888888888884,0.26037147604767047,0.01851851851851849
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,2024,LOSO,5,0.2673611111111111,0.26736111111111116,0.24979677165095038,0.02314814814814814
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,2024,LOSO,6,0.28125,0.28125,0.2797768927823596,0.04166666666666663
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,2024,LOSO,7,0.4114583333333333,0.4114583333333333,0.3994241895101859,0.2152777777777778
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,2024,LOSO,8,0.3489583333333333,0.34895833333333337,0.308885122487344,0.13194444444444442
bci_iv_2a,CSP_BPE_Seq_CNN,1024,42,LOSO,0,0.3871527777777778,0.3871527777777778,0.37404847975053124,0.18287037037037035
bci_iv_2a,CSP_BPE_Seq_CNN,1024,42,LOSO,1,0.265625,0.265625,0.24707053434932352,0.02083333333333337
bci_iv_2a,CSP_BPE_Seq_CNN,1024,42,LOSO,2,0.3020833333333333,0.3020833333333333,0.27644301952554384,0.06944444444444442
bci_iv_2a,CSP_BPE_Seq_CNN,1024,42,LOSO,3,0.28125,0.28125,0.26198724054892786,0.04166666666666663
bci_iv_2a,CSP_BPE_Seq_CNN,1024,42,LOSO,4,0.2725694444444444,0.2725694444444444,0.23109134274849571,0.03009259259259256
bci_iv_2a,CSP_BPE_Seq_CNN,1024,42,LOSO,5,0.2638888888888889,0.2638888888888889,0.24670438655854598,0.01851851851851849
bci_iv_2a,CSP_BPE_Seq_CNN,1024,42,LOSO,6,0.3697916666666667,0.3697916666666667,0.36598502315962916,0.1597222222222222
bci_iv_2a,CSP_BPE_Seq_CNN,1024,42,LOSO,7,0.2951388888888889,0.29513888888888884,0.28299906458147034,0.06018518518518523
