vocab_size,n_bins,method,total_bpe_tokens,total_base_tokens,compression_ratio,vocab_utilization,mean_token_length,zipf_slope,zipf_r_squared,zipf_ks_statistic,zipf_ks_p_value,heaps_final_unique,heaps_final_size,dataset,ds_compression,ds_vocab_utilization,ds_mean_token_length,timestamp
4096,64,adaptive,60697932,95930860,1.5804634003016775,1.0,1.5804634003016775,-0.8513073178924677,0.7976100962849809,0.5045535582822207,0.0,4096,60697932,bci_iv_2a,1.2278245860414316,0.91455078125,1.2278245860414316,2026-03-07T16:46:59.561775
4096,64,adaptive,60697932,95930860,1.5804634003016775,1.0,1.5804634003016775,-0.8513073178924677,0.7976100962849809,0.5045535582822207,0.0,4096,60697932,physionet_mi,1.1853022520742789,0.883544921875,1.1853022520742789,2026-03-07T16:46:59.898273
4096,64,adaptive,60697932,95930860,1.5804634003016775,1.0,1.5804634003016775,-0.8513073178924677,0.7976100962849809,0.5045535582822207,0.0,4096,60697932,sleep_edf,1.1549288996896128,0.8056640625,1.1549288996896128,2026-03-07T16:47:00.112273
4096,64,adaptive,60697932,95930860,1.5804634003016775,1.0,1.5804634003016775,-0.8513073178924677,0.7976100962849809,0.5045535582822207,0.0,4096,60697932,mental_arithmetic,1.7472624688634764,0.940673828125,1.7472624688634764,2026-03-07T16:47:00.675257
4096,64,adaptive,60697932,95930860,1.5804634003016775,1.0,1.5804634003016775,-0.8513073178924677,0.7976100962849809,0.5045535582822207,0.0,4096,60697932,epfl_p300,1.51768367008901,0.9482421875,1.51768367008901,2026-03-07T16:47:03.781768
4096,64,adaptive,60697932,95930860,1.5804634003016775,1.0,1.5804634003016775,-0.8513073178924677,0.7976100962849809,0.5045535582822207,0.0,4096,60697932,ssvep_nakanishi,6.881103843741601,0.548828125,6.881103843741601,2026-03-07T16:47:03.929763
8192,64,adaptive,57599738,95930860,1.6654738950375088,1.0,1.6654738950375088,-0.7383567756053016,0.8058290332611041,0.6201768147240356,0.0,8192,57599738,bci_iv_2a,1.2617796151199108,0.915771484375,1.2617796151199108,2026-03-07T16:47:39.175204
8192,64,adaptive,57599738,95930860,1.6654738950375088,1.0,1.6654738950375088,-0.7383567756053016,0.8058290332611041,0.6201768147240356,0.0,8192,57599738,physionet_mi,1.203098479876716,0.8104248046875,1.203098479876716,2026-03-07T16:47:39.519194
8192,64,adaptive,57599738,95930860,1.6654738950375088,1.0,1.6654738950375088,-0.7383567756053016,0.8058290332611041,0.6201768147240356,0.0,8192,57599738,sleep_edf,1.1674703835464508,0.6846923828125,1.1674703835464508,2026-03-07T16:47:39.734190
8192,64,adaptive,57599738,95930860,1.6654738950375088,1.0,1.6654738950375088,-0.7383567756053016,0.8058290332611041,0.6201768147240356,0.0,8192,57599738,mental_arithmetic,1.8976004841877445,0.931396484375,1.8976004841877445,2026-03-07T16:47:40.274690
8192,64,adaptive,57599738,95930860,1.6654738950375088,1.0,1.6654738950375088,-0.7383567756053016,0.8058290332611041,0.6201768147240356,0.0,8192,57599738,epfl_p300,1.609647994069994,0.9654541015625,1.609647994069994,2026-03-07T16:47:43.251624
8192,64,adaptive,57599738,95930860,1.6654738950375088,1.0,1.6654738950375088,-0.7383567756053016,0.8058290332611041,0.6201768147240356,0.0,8192,57599738,ssvep_nakanishi,7.649923052531796,0.40673828125,7.649923052531796,2026-03-07T16:47:43.398120
16384,64,adaptive,54605506,95930860,1.7567982979591839,1.0,1.7567982979591839,-0.6647391077548399,0.8219269913179569,0.6632423331753373,5.73e-322,16384,54605506,bci_iv_2a,1.2954420489908485,0.875244140625,1.2954420489908485,2026-03-07T16:48:18.702639
16384,64,adaptive,54605506,95930860,1.7567982979591839,1.0,1.7567982979591839,-0.6647391077548399,0.8219269913179569,0.6632423331753373,5.73e-322,16384,54605506,physionet_mi,1.219714396250903,0.6978759765625,1.219714396250903,2026-03-07T16:48:19.040634
16384,64,adaptive,54605506,95930860,1.7567982979591839,1.0,1.7567982979591839,-0.6647391077548399,0.8219269913179569,0.6632423331753373,5.73e-322,16384,54605506,sleep_edf,1.179166872747914,0.5372314453125,1.179166872747914,2026-03-07T16:48:19.263127
16384,64,adaptive,54605506,95930860,1.7567982979591839,1.0,1.7567982979591839,-0.6647391077548399,0.8219269913179569,0.6632423331753373,5.73e-322,16384,54605506,mental_arithmetic,2.0704670755778602,0.90869140625,2.0704670755778602,2026-03-07T16:48:19.758613
16384,64,adaptive,54605506,95930860,1.7567982979591839,1.0,1.7567982979591839,-0.6647391077548399,0.8219269913179569,0.6632423331753373,5.73e-322,16384,54605506,epfl_p300,1.7106888256026636,0.9649658203125,1.7106888256026636,2026-03-07T16:48:22.535051
16384,64,adaptive,54605506,95930860,1.7567982979591839,1.0,1.7567982979591839,-0.6647391077548399,0.8219269913179569,0.6632423331753373,5.73e-322,16384,54605506,ssvep_nakanishi,8.508705358379357,0.30615234375,8.508705358379357,2026-03-07T16:48:22.669547
32768,64,adaptive,51813535,95930860,1.8514633290316902,1.0,1.8514633290316902,-0.6504786997052924,0.855254389311844,0.632047414701477,3.08e-321,32768,51813535,bci_iv_2a,1.3280966856535725,0.799102783203125,1.3280966856535725,2026-03-07T16:49:00.897246
32768,64,adaptive,51813535,95930860,1.8514633290316902,1.0,1.8514633290316902,-0.6504786997052924,0.855254389311844,0.632047414701477,3.08e-321,32768,51813535,physionet_mi,1.2360072074670285,0.553558349609375,1.2360072074670285,2026-03-07T16:49:01.250235
32768,64,adaptive,51813535,95930860,1.8514633290316902,1.0,1.8514633290316902,-0.6504786997052924,0.855254389311844,0.632047414701477,3.08e-321,32768,51813535,sleep_edf,1.1900787104836017,0.384521484375,1.1900787104836017,2026-03-07T16:49:01.461229
32768,64,adaptive,51813535,95930860,1.8514633290316902,1.0,1.8514633290316902,-0.6504786997052924,0.855254389311844,0.632047414701477,3.08e-321,32768,51813535,mental_arithmetic,2.2595667379883713,0.873138427734375,2.2595667379883713,2026-03-07T16:49:01.943234
32768,64,adaptive,51813535,95930860,1.8514633290316902,1.0,1.8514633290316902,-0.6504786997052924,0.855254389311844,0.632047414701477,3.08e-321,32768,51813535,epfl_p300,1.818511093020862,0.961090087890625,1.818511093020862,2026-03-07T16:49:04.593675
32768,64,adaptive,51813535,95930860,1.8514633290316902,1.0,1.8514633290316902,-0.6504786997052924,0.855254389311844,0.632047414701477,3.08e-321,32768,51813535,ssvep_nakanishi,9.337092755951941,0.221099853515625,9.337092755951941,2026-03-07T16:49:04.710170
65536,64,adaptive,49242424,95930860,1.948134397283123,0.9999542236328125,1.948134397283123,-0.6969467015009083,0.8578337623846214,0.5602230761739965,3.957e-321,65533,49242424,bci_iv_2a,1.3620813860570986,0.67926025390625,1.3620813860570986,2026-03-07T16:49:55.401740
65536,64,adaptive,49242424,95930860,1.948134397283123,0.9999542236328125,1.948134397283123,-0.6969467015009083,0.8578337623846214,0.5602230761739965,3.957e-321,65533,49242424,physionet_mi,1.2527466361251676,0.41339111328125,1.2527466361251676,2026-03-07T16:49:55.746753
65536,64,adaptive,49242424,95930860,1.948134397283123,0.9999542236328125,1.948134397283123,-0.6969467015009083,0.8578337623846214,0.5602230761739965,3.957e-321,65533,49242424,sleep_edf,1.2018151414686649,0.26483154296875,1.2018151414686649,2026-03-07T16:49:55.966746
65536,64,adaptive,49242424,95930860,1.948134397283123,0.9999542236328125,1.948134397283123,-0.6969467015009083,0.8578337623846214,0.5602230761739965,3.957e-321,65533,49242424,mental_arithmetic,2.4557999100401715,0.805145263671875,2.4557999100401715,2026-03-07T16:49:56.441733
65536,64,adaptive,49242424,95930860,1.948134397283123,0.9999542236328125,1.948134397283123,-0.6969467015009083,0.8578337623846214,0.5602230761739965,3.957e-321,65533,49242424,epfl_p300,1.931066002893469,0.9492034912109375,1.931066002893469,2026-03-07T16:49:58.968193
65536,64,adaptive,49242424,95930860,1.948134397283123,0.9999542236328125,1.948134397283123,-0.6969467015009083,0.8578337623846214,0.5602230761739965,3.957e-321,65533,49242424,ssvep_nakanishi,10.178296902334294,0.158782958984375,10.178296902334294,2026-03-07T16:49:59.077190
128,64,adaptive,2568880,2982590,1.1610468375323098,1.0,1.1610468375323098,-0.8010896485414124,0.6216717815310989,0.2568107293897079,2.485373363366409e-288,128,2568880,bci_iv_2a,1.0784872016105838,1.0,1.0784872016105838,2026-03-21T19:43:57.791912
128,64,adaptive,2568880,2982590,1.1610468375323098,1.0,1.1610468375323098,-0.8010896485414124,0.6216717815310989,0.2568107293897079,2.485373363366409e-288,128,2568880,physionet_mi,1.0910330719399932,1.0,1.0910330719399932,2026-03-21T19:43:57.800912
128,64,adaptive,2568880,2982590,1.1610468375323098,1.0,1.1610468375323098,-0.8010896485414124,0.6216717815310989,0.2568107293897079,2.485373363366409e-288,128,2568880,sleep_edf,1.0895751867410806,1.0,1.0895751867410806,2026-03-21T19:43:57.807412
128,64,adaptive,2568880,2982590,1.1610468375323098,1.0,1.1610468375323098,-0.8010896485414124,0.6216717815310989,0.2568107293897079,2.485373363366409e-288,128,2568880,mental_arithmetic,1.1739587545491306,1.0,1.1739587545491306,2026-03-21T19:43:57.831412
128,64,adaptive,2568880,2982590,1.1610468375323098,1.0,1.1610468375323098,-0.8010896485414124,0.6216717815310989,0.2568107293897079,2.485373363366409e-288,128,2568880,epfl_p300,1.1275339232821808,1.0,1.1275339232821808,2026-03-21T19:43:57.931912
128,64,adaptive,2568880,2982590,1.1610468375323098,1.0,1.1610468375323098,-0.8010896485414124,0.6216717815310989,0.2568107293897079,2.485373363366409e-288,128,2568880,ssvep_nakanishi,1.8050626366136273,1.0,1.8050626366136273,2026-03-21T19:43:57.940412
256,64,adaptive,2416697,2982590,1.2341596815819278,1.0,1.2341596815819278,-1.5315699772228137,0.7858699552277798,0.6720477366586436,0.0,256,2416697,bci_iv_2a,1.0989952473293703,0.85546875,1.0989952473293703,2026-03-21T19:44:02.220961
256,64,adaptive,2416697,2982590,1.2341596815819278,1.0,1.2341596815819278,-1.5315699772228137,0.7858699552277798,0.6720477366586436,0.0,256,2416697,physionet_mi,1.107487848397219,0.78515625,1.107487848397219,2026-03-21T19:44:02.229960
256,64,adaptive,2416697,2982590,1.2341596815819278,1.0,1.2341596815819278,-1.5315699772228137,0.7858699552277798,0.6720477366586436,0.0,256,2416697,sleep_edf,1.1061946902654867,0.76171875,1.1061946902654867,2026-03-21T19:44:02.235960
256,64,adaptive,2416697,2982590,1.2341596815819278,1.0,1.2341596815819278,-1.5315699772228137,0.7858699552277798,0.6720477366586436,0.0,256,2416697,mental_arithmetic,1.243563809207981,1.0,1.243563809207981,2026-03-21T19:44:02.259461
256,64,adaptive,2416697,2982590,1.2341596815819278,1.0,1.2341596815819278,-1.5315699772228137,0.7858699552277798,0.6720477366586436,0.0,256,2416697,epfl_p300,1.1736711033794622,0.9609375,1.1736711033794622,2026-03-21T19:44:02.358468
256,64,adaptive,2416697,2982590,1.2341596815819278,1.0,1.2341596815819278,-1.5315699772228137,0.7858699552277798,0.6720477366586436,0.0,256,2416697,ssvep_nakanishi,3.3748846474974,1.0,3.3748846474974,2026-03-21T19:44:02.363468
