ablation,dataset,condition,classifier,vocab_size,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A7,bci_iv_2a,Raw_Bins,Seq_CNN,64,42,0.27083333333333337,0.024442953798544994,0.25751832561728394,0.28761574074074076,0.27083333333333337,0.027777777777777752,2026-03-12T03:03:53.483961
A7,bci_iv_2a,Raw_Bins,Seq_CNN,64,123,0.271604938271605,0.015444150386765505,0.2613811728395061,0.28125482253086426,0.271604938271605,0.02880658436213991,2026-03-12T03:04:13.170625
A7,bci_iv_2a,Raw_Bins,Seq_CNN,64,456,0.27102623456790126,0.026863877770343023,0.2555893132716049,0.2907118055555556,0.27102623456790126,0.02803497942386832,2026-03-12T03:04:35.393642
A7,bci_iv_2a,Raw_Bins,Seq_CNN,64,789,0.2845293209876543,0.031616977235413395,0.26774209104938274,0.307884837962963,0.2845293209876543,0.046039094650205774,2026-03-12T03:04:57.546938
A7,bci_iv_2a,Raw_Bins,Seq_CNN,64,2024,0.2847222222222222,0.030103719452870274,0.26678240740740744,0.3059413580246913,0.2847222222222222,0.04629629629629631,2026-03-12T03:05:18.146256
A7,sleep_edf,BPE,Hist_LogReg,4096,42,0.7586775512015514,0.05577142498376278,0.7084796544668064,0.8041588592008673,0.6114808501775151,0.5347430953421833,2026-03-12T09:29:28.388352
A7,sleep_edf,BPE,Hist_LogReg,4096,123,0.6542578970419365,0.29729544859911994,0.3572650701263821,0.8274581983791309,0.5684968082099455,0.47621984430813724,2026-03-12T09:29:28.393347
A7,sleep_edf,BPE,Hist_LogReg,4096,456,0.6803289095558699,0.14944429804519355,0.5515611622837371,0.8068899008171613,0.5917458966282023,0.47288192982932975,2026-03-12T09:29:28.398847
A7,sleep_edf,BPE,Hist_LogReg,4096,789,0.6120922079824938,0.2647778659704785,0.3522488788950961,0.7801778084320719,0.5084413273176847,0.40784564823034364,2026-03-12T09:29:28.399847
A7,sleep_edf,BPE,Hist_LogReg,4096,2024,0.7252640797004453,0.11514773590933369,0.6084616324774508,0.8182072635217523,0.5875526613450266,0.5103602698843155,2026-03-12T09:29:28.401348
A7,sleep_edf,BPE,Seq_CNN,4096,42,0.8604705983618441,0.020503909193038523,0.8426405495133888,0.8783988568850376,0.5355342230623896,0.672567422375666,2026-03-12T09:30:59.882314
