dataset,classifier,vocab_size,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa,auc_roc
bci_iv_2a,BPE_Hist_RF,4096,456,LOSO,4,0.265625,0.2656249999999999,0.2660929320936013,0.0208333333333333,0.5113570601851852
bci_iv_2a,BPE_Hist_RF,4096,456,LOSO,5,0.2743055555555556,0.2743055555555556,0.273026894449072,0.0324074074074074,0.517578125
bci_iv_2a,BPE_Hist_RF,4096,456,LOSO,6,0.2152777777777778,0.2152777777777778,0.2147521421154696,-0.0462962962962962,0.522850758744856
bci_iv_2a,BPE_Hist_RF,4096,456,LOSO,7,0.2604166666666667,0.2604166666666667,0.2598096277142444,0.0138888888888888,0.5064340599279835
bci_iv_2a,BPE_Hist_RF,4096,456,LOSO,8,0.2309027777777778,0.2309027777777777,0.2254736518391719,-0.025462962962963,0.4996021412037036
bci_iv_2a,BPE_Hist_RF,4096,789,LOSO,0,0.25,0.25,0.2506608929696473,0.0,0.5075311856995884
bci_iv_2a,BPE_Hist_RF,4096,789,LOSO,1,0.2604166666666667,0.2604166666666667,0.2592339714589583,0.0138888888888888,0.5089056069958847
bci_iv_2a,BPE_Hist_RF,4096,789,LOSO,2,0.234375,0.234375,0.2345499753929845,-0.0208333333333332,0.5006430041152263
bci_iv_2a,BPE_Hist_RF,4096,789,LOSO,3,0.234375,0.234375,0.2335155772265532,-0.0208333333333332,0.5048787937242799
bci_iv_2a,BPE_Hist_RF,4096,789,LOSO,4,0.265625,0.2656249999999999,0.2660929320936013,0.0208333333333333,0.5113570601851852
bci_iv_2a,BPE_Hist_RF,4096,789,LOSO,5,0.2743055555555556,0.2743055555555556,0.273026894449072,0.0324074074074074,0.517578125
bci_iv_2a,BPE_Hist_RF,4096,789,LOSO,6,0.2152777777777778,0.2152777777777778,0.2147521421154696,-0.0462962962962962,0.522850758744856
bci_iv_2a,BPE_Hist_RF,4096,789,LOSO,7,0.2604166666666667,0.2604166666666667,0.2598096277142444,0.0138888888888888,0.5064340599279835
bci_iv_2a,BPE_Hist_RF,4096,789,LOSO,8,0.2309027777777778,0.2309027777777777,0.2254736518391719,-0.025462962962963,0.4996021412037036
bci_iv_2a,BPE_Hist_RF,4096,2024,LOSO,0,0.25,0.25,0.2506608929696473,0.0,0.5075311856995884
bci_iv_2a,BPE_Hist_RF,4096,2024,LOSO,1,0.2604166666666667,0.2604166666666667,0.2592339714589583,0.0138888888888888,0.5089056069958847
bci_iv_2a,BPE_Hist_RF,4096,2024,LOSO,2,0.234375,0.234375,0.2345499753929845,-0.0208333333333332,0.5006430041152263
bci_iv_2a,BPE_Hist_RF,4096,2024,LOSO,3,0.234375,0.234375,0.2335155772265532,-0.0208333333333332,0.5048787937242799
bci_iv_2a,BPE_Hist_RF,4096,2024,LOSO,4,0.265625,0.2656249999999999,0.2660929320936013,0.0208333333333333,0.5113570601851852
bci_iv_2a,BPE_Hist_RF,4096,2024,LOSO,5,0.2743055555555556,0.2743055555555556,0.273026894449072,0.0324074074074074,0.517578125
bci_iv_2a,BPE_Hist_RF,4096,2024,LOSO,6,0.2152777777777778,0.2152777777777778,0.2147521421154696,-0.0462962962962962,0.522850758744856
bci_iv_2a,BPE_Hist_RF,4096,2024,LOSO,7,0.2604166666666667,0.2604166666666667,0.2598096277142444,0.0138888888888888,0.5064340599279835
bci_iv_2a,BPE_Hist_RF,4096,2024,LOSO,8,0.2309027777777778,0.2309027777777777,0.2254736518391719,-0.025462962962963,0.4996021412037036
bci_iv_2a,BPE_Windowed_LogReg,4096,42,LOSO,0,0.328125,0.328125,0.329319120478676,0.1041666666666666,0.5750506365740741
bci_iv_2a,BPE_Windowed_LogReg,4096,42,LOSO,1,0.25,0.25,0.2446619163438699,0.0,0.5179719650205762
bci_iv_2a,BPE_Windowed_LogReg,4096,42,LOSO,2,0.3211805555555556,0.3211805555555556,0.3204530393462274,0.0949074074074074,0.5788202481995885
bci_iv_2a,BPE_Windowed_LogReg,4096,42,LOSO,3,0.3211805555555556,0.3211805555555555,0.3178507986266607,0.0949074074074074,0.5574805491255144
bci_iv_2a,BPE_Windowed_LogReg,4096,42,LOSO,4,0.2725694444444444,0.2725694444444444,0.2630775361486017,0.0300925925925925,0.526343074845679
bci_iv_2a,BPE_Windowed_LogReg,4096,42,LOSO,5,0.2899305555555556,0.2899305555555556,0.2908333053468963,0.0532407407407407,0.5271588863168725
bci_iv_2a,BPE_Windowed_LogReg,4096,42,LOSO,6,0.3020833333333333,0.3020833333333333,0.3010136589495349,0.0694444444444444,0.5679132908950617
bci_iv_2a,BPE_Windowed_LogReg,4096,42,LOSO,7,0.3142361111111111,0.3142361111111111,0.3090703288562517,0.0856481481481481,0.5840768068415638
bci_iv_2a,BPE_Windowed_LogReg,4096,42,LOSO,8,0.3159722222222222,0.3159722222222222,0.3010426910980092,0.0879629629629629,0.5830359439300411
bci_iv_2a,BPE_Windowed_LogReg,4096,123,LOSO,0,0.3263888888888889,0.3263888888888889,0.3274395534891767,0.1018518518518518,0.5751269933127572
bci_iv_2a,BPE_Windowed_LogReg,4096,123,LOSO,1,0.25,0.25,0.2446619163438699,0.0,0.517992058899177
bci_iv_2a,BPE_Windowed_LogReg,4096,123,LOSO,2,0.3211805555555556,0.3211805555555556,0.3204530393462274,0.0949074074074074,0.5788805298353908
bci_iv_2a,BPE_Windowed_LogReg,4096,123,LOSO,3,0.3211805555555556,0.3211805555555555,0.317811017570804,0.0949074074074074,0.5574966242283951
bci_iv_2a,BPE_Windowed_LogReg,4096,123,LOSO,4,0.2743055555555556,0.2743055555555555,0.2653189202102245,0.0324074074074074,0.5263832626028806
bci_iv_2a,BPE_Windowed_LogReg,4096,123,LOSO,5,0.2899305555555556,0.2899305555555556,0.2907937515101786,0.0532407407407407,0.5271227173353908
bci_iv_2a,BPE_Windowed_LogReg,4096,123,LOSO,6,0.3038194444444444,0.3038194444444445,0.3027421853680686,0.0717592592592593,0.5679695537551439
bci_iv_2a,BPE_Windowed_LogReg,4096,123,LOSO,7,0.3142361111111111,0.3142361111111111,0.3090703288562517,0.0856481481481481,0.5840526941872428
