method_a,method_b,statistic,p_raw,mean_diff,cohens_dz,p_corrected,significant,dataset,cohens_d
BPE_Bigram_LogReg,BPE_Hist_LogReg,0.0,0.0625,-0.09511904761904763,-1.622841079109478,1.0,False,mental_arithmetic,
BPE_Bigram_LogReg,BPE_Hist_RF,2.5,0.25,-0.03488095238095238,-0.6010398669896658,1.0,False,mental_arithmetic,
BPE_Bigram_LogReg,BPE_Seq_CNN,7.0,1.0,0.02857142857142857,0.36447404353847224,1.0,False,mental_arithmetic,
BPE_Bigram_LogReg,BPE_Seq_CW_Transformer,3.0,1.0,0.019404761904761914,0.33029195488603763,1.0,False,mental_arithmetic,
BPE_Bigram_LogReg,BPE_Seq_Transformer,7.0,1.0,0.004166666666666674,0.06459092877513117,1.0,False,mental_arithmetic,
BPE_Bigram_LogReg,BPE_WindowedSeq_CNN,1.0,0.125,-0.08095238095238094,-0.9957026015176186,1.0,False,mental_arithmetic,
BPE_Bigram_LogReg,BPE_Windowed_LogReg,2.0,0.1875,-0.051190476190476175,-0.8415211191340819,1.0,False,mental_arithmetic,
BPE_Bigram_LogReg,Chronos_Binning,1.0,0.25,-0.055833333333333346,-0.9575317713916347,1.0,False,mental_arithmetic,
BPE_Bigram_LogReg,EEGNet,1.0,1.0,0.02226190476190476,0.3903932567278276,1.0,False,mental_arithmetic,
BPE_Bigram_LogReg,PSD_LogReg,0.0,0.0625,-0.15821428571428572,-3.0126451723455547,1.0,False,mental_arithmetic,
BPE_Bigram_LogReg,Patching_LogReg,1.0,1.0,0.02226190476190476,0.3903932567278276,1.0,False,mental_arithmetic,
BPE_Bigram_LogReg,VQ_LogReg,1.0,0.125,-0.1386904761904762,-1.2834592520951709,1.0,False,mental_arithmetic,
BPE_Hist_LogReg,BPE_Hist_RF,0.0,0.0625,0.06023809523809524,1.9973338414724395,1.0,False,mental_arithmetic,
BPE_Hist_LogReg,BPE_Seq_CNN,0.0,0.0625,0.1236904761904762,2.567938245443602,1.0,False,mental_arithmetic,
BPE_Hist_LogReg,BPE_Seq_CW_Transformer,0.0,0.0625,0.11452380952380954,2.7745126561473126,1.0,False,mental_arithmetic,
BPE_Hist_LogReg,BPE_Seq_Transformer,0.0,0.0625,0.0992857142857143,2.13649591126273,1.0,False,mental_arithmetic,
BPE_Hist_LogReg,BPE_WindowedSeq_CNN,6.0,0.8125,0.014166666666666683,0.2206713880138039,1.0,False,mental_arithmetic,
BPE_Hist_LogReg,BPE_Windowed_LogReg,0.0,0.0625,0.04392857142857145,1.7147958424667071,1.0,False,mental_arithmetic,
BPE_Hist_LogReg,Chronos_Binning,0.0,0.0625,0.03928571428571428,2.0195672024949425,1.0,False,mental_arithmetic,
BPE_Hist_LogReg,EEGNet,0.0,0.0625,0.11738095238095239,3.02590684955705,1.0,False,mental_arithmetic,
BPE_Hist_LogReg,PSD_LogReg,0.0,0.0625,-0.0630952380952381,-1.6363949309002617,1.0,False,mental_arithmetic,
BPE_Hist_LogReg,Patching_LogReg,0.0,0.0625,0.11738095238095239,3.02590684955705,1.0,False,mental_arithmetic,
BPE_Hist_LogReg,VQ_LogReg,3.0,0.3125,-0.04357142857142857,-0.6899767755612115,1.0,False,mental_arithmetic,
BPE_Hist_RF,BPE_Seq_CNN,0.0,0.125,0.06345238095238095,1.356690945290801,1.0,False,mental_arithmetic,
BPE_Hist_RF,BPE_Seq_CW_Transformer,0.0,0.0625,0.05428571428571429,2.3874672772626613,1.0,False,mental_arithmetic,
BPE_Hist_RF,BPE_Seq_Transformer,0.0,0.0625,0.03904761904761905,2.0065760153528256,1.0,False,mental_arithmetic,
BPE_Hist_RF,BPE_WindowedSeq_CNN,1.0,0.125,-0.04607142857142856,-0.9130685791809457,1.0,False,mental_arithmetic,
BPE_Hist_RF,BPE_Windowed_LogReg,0.0,0.0625,-0.016309523809523795,-1.6207627643854787,1.0,False,mental_arithmetic,
BPE_Hist_RF,Chronos_Binning,3.0,0.3125,-0.020952380952380965,-0.6364125395544089,1.0,False,mental_arithmetic,
BPE_Hist_RF,EEGNet,0.0,0.0625,0.05714285714285714,2.2478059477960626,1.0,False,mental_arithmetic,
BPE_Hist_RF,PSD_LogReg,0.0,0.0625,-0.12333333333333334,-2.5390936643283895,1.0,False,mental_arithmetic,
BPE_Hist_RF,Patching_LogReg,0.0,0.0625,0.05714285714285714,2.2478059477960626,1.0,False,mental_arithmetic,
BPE_Hist_RF,VQ_LogReg,0.0,0.0625,-0.10380952380952382,-1.6446391068226438,1.0,False,mental_arithmetic,
BPE_Seq_CNN,BPE_Seq_CW_Transformer,6.0,0.8125,-0.009166666666666656,-0.29135539502623853,1.0,False,mental_arithmetic,
BPE_Seq_CNN,BPE_Seq_Transformer,3.0,0.3125,-0.024404761904761894,-0.4876462242298801,1.0,False,mental_arithmetic,
BPE_Seq_CNN,BPE_WindowedSeq_CNN,0.0,0.0625,-0.10952380952380951,-3.9737947576742565,1.0,False,mental_arithmetic,
BPE_Seq_CNN,BPE_Windowed_LogReg,0.0,0.0625,-0.07976190476190474,-2.049207563192164,1.0,False,mental_arithmetic,
BPE_Seq_CNN,Chronos_Binning,1.0,0.125,-0.08440476190476191,-1.3762321052635929,1.0,False,mental_arithmetic,
BPE_Seq_CNN,EEGNet,6.0,0.8125,-0.006309523809523809,-0.2294716349152294,1.0,False,mental_arithmetic,
BPE_Seq_CNN,PSD_LogReg,0.0,0.0625,-0.18678571428571428,-4.6126115299217325,1.0,False,mental_arithmetic,
BPE_Seq_CNN,Patching_LogReg,6.0,0.8125,-0.006309523809523809,-0.2294716349152294,1.0,False,mental_arithmetic,
BPE_Seq_CNN,VQ_LogReg,0.0,0.0625,-0.16726190476190478,-4.829775936648359,1.0,False,mental_arithmetic,
BPE_Seq_CW_Transformer,BPE_Seq_Transformer,2.0,0.375,-0.01523809523809524,-0.6504925025453929,1.0,False,mental_arithmetic,
BPE_Seq_CW_Transformer,BPE_WindowedSeq_CNN,0.0,0.0625,-0.10035714285714285,-3.292742663066017,1.0,False,mental_arithmetic,
BPE_Seq_CW_Transformer,BPE_Windowed_LogReg,0.0,0.0625,-0.07059523809523809,-3.3985737930156086,1.0,False,mental_arithmetic,
BPE_Seq_CW_Transformer,Chronos_Binning,0.0,0.125,-0.07523809523809526,-1.544129592574032,1.0,False,mental_arithmetic,
BPE_Seq_CW_Transformer,EEGNet,0.0,1.0,0.002857142857142847,0.4472135954999579,1.0,False,mental_arithmetic,
BPE_Seq_CW_Transformer,PSD_LogReg,0.0,0.0625,-0.17761904761904762,-4.2452198048758145,1.0,False,mental_arithmetic,
BPE_Seq_CW_Transformer,Patching_LogReg,0.0,1.0,0.002857142857142847,0.4472135954999579,1.0,False,mental_arithmetic,
BPE_Seq_CW_Transformer,VQ_LogReg,0.0,0.0625,-0.15809523809523812,-2.8139635400263656,1.0,False,mental_arithmetic,
BPE_Seq_Transformer,BPE_WindowedSeq_CNN,0.0,0.0625,-0.08511904761904762,-1.9828625508099982,1.0,False,mental_arithmetic,
BPE_Seq_Transformer,BPE_Windowed_LogReg,0.0,0.0625,-0.05535714285714285,-2.1285310231227585,1.0,False,mental_arithmetic,
BPE_Seq_Transformer,Chronos_Binning,0.0,0.0625,-0.06000000000000002,-1.3333519968831877,1.0,False,mental_arithmetic,
BPE_Seq_Transformer,EEGNet,2.0,0.375,0.018095238095238088,0.6450878455917913,1.0,False,mental_arithmetic,
BPE_Seq_Transformer,PSD_LogReg,0.0,0.0625,-0.1623809523809524,-2.6442849571208846,1.0,False,mental_arithmetic,
BPE_Seq_Transformer,Patching_LogReg,2.0,0.375,0.018095238095238088,0.6450878455917913,1.0,False,mental_arithmetic,
BPE_Seq_Transformer,VQ_LogReg,0.0,0.0625,-0.14285714285714288,-2.118673654639348,1.0,False,mental_arithmetic,
BPE_WindowedSeq_CNN,BPE_Windowed_LogReg,3.0,0.3125,0.029761904761904767,0.6291423839868758,1.0,False,mental_arithmetic,
BPE_WindowedSeq_CNN,Chronos_Binning,5.0,0.625,0.025119047619047596,0.35112819530786943,1.0,False,mental_arithmetic,
BPE_WindowedSeq_CNN,EEGNet,0.0,0.0625,0.1032142857142857,3.4420755357793316,1.0,False,mental_arithmetic,
BPE_WindowedSeq_CNN,PSD_LogReg,0.0,0.0625,-0.07726190476190478,-1.3079654209394171,1.0,False,mental_arithmetic,
BPE_WindowedSeq_CNN,Patching_LogReg,0.0,0.0625,0.1032142857142857,3.4420755357793316,1.0,False,mental_arithmetic,
BPE_WindowedSeq_CNN,VQ_LogReg,0.0,0.0625,-0.057738095238095255,-1.1345999323243552,1.0,False,mental_arithmetic,
BPE_Windowed_LogReg,Chronos_Binning,5.0,0.5625,-0.004642857142857171,-0.1365231255630049,1.0,False,mental_arithmetic,
BPE_Windowed_LogReg,EEGNet,0.0,0.0625,0.07345238095238094,3.3587714099803505,1.0,False,mental_arithmetic,
BPE_Windowed_LogReg,PSD_LogReg,0.0,0.0625,-0.10702380952380955,-2.5560306951590386,1.0,False,mental_arithmetic,
BPE_Windowed_LogReg,Patching_LogReg,0.0,0.0625,0.07345238095238094,3.3587714099803505,1.0,False,mental_arithmetic,
BPE_Windowed_LogReg,VQ_LogReg,0.0,0.0625,-0.08750000000000002,-1.5984872238317902,1.0,False,mental_arithmetic,
Chronos_Binning,EEGNet,0.0,0.125,0.0780952380952381,1.6457703118710252,1.0,False,mental_arithmetic,
Chronos_Binning,PSD_LogReg,0.0,0.0625,-0.10238095238095238,-1.8713348015237512,1.0,False,mental_arithmetic,
Chronos_Binning,Patching_LogReg,0.0,0.125,0.0780952380952381,1.6457703118710252,1.0,False,mental_arithmetic,
Chronos_Binning,VQ_LogReg,1.0,0.125,-0.08285714285714285,-1.0847492416301827,1.0,False,mental_arithmetic,
EEGNet,PSD_LogReg,0.0,0.0625,-0.18047619047619048,-4.870596319278313,1.0,False,mental_arithmetic,
EEGNet,Patching_LogReg,0.0,1.0,0.0,,1.0,False,mental_arithmetic,0.0
EEGNet,VQ_LogReg,0.0,0.0625,-0.16095238095238096,-2.92863054632654,1.0,False,mental_arithmetic,
PSD_LogReg,Patching_LogReg,0.0,0.0625,0.18047619047619048,4.870596319278313,1.0,False,mental_arithmetic,
PSD_LogReg,VQ_LogReg,7.0,1.0,0.01952380952380952,0.29701568208224527,1.0,False,mental_arithmetic,
Patching_LogReg,VQ_LogReg,0.0,0.0625,-0.16095238095238096,-2.92863054632654,1.0,False,mental_arithmetic,
CSP_LDA,Chronos_Binning,0.0,0.0625,-0.06122613689789225,-5.400472969127565,0.9375,False,physionet_mi,
CSP_LDA,EEGNet,0.0,0.0625,-0.32489050736128755,-7.323724409550707,0.875,False,physionet_mi,
