dataset,n_bins,method1,method2,sqnr_diff_db,cohens_d,rank,significant_large_effect
mental_arithmetic,256,uniform,mu_law,1.7200730580845303,4.06751900855206,65,True
ssvep_nakanishi,128,mu_law,adaptive,-3.855485885243098,-4.0410633588261105,66,True
sleep_edf,256,uniform,adaptive,4.5756650246713555,3.5944941959799466,67,True
epfl_p300,1024,mu_law,adaptive,-2.203478639417284,-3.5339983009021,68,True
sleep_edf,64,uniform,mu_law,2.408188847374479,3.437504057238921,69,True
ssvep_nakanishi,128,uniform,mu_law,2.9280597243178192,3.3401245688647254,70,True
ssvep_nakanishi,64,uniform,mu_law,2.9770088182475547,3.3393713480523313,71,True
ssvep_nakanishi,512,uniform,mu_law,2.922241232447462,3.265273704661348,72,True
ssvep_nakanishi,256,uniform,mu_law,2.9377277283805228,3.2012477805381954,73,True
epfl_p300,1024,uniform,adaptive,-1.9640800760891182,-3.1454586952795065,74,True
ssvep_nakanishi,32,uniform,mu_law,2.8371657781313004,3.113412012800618,75,True
ssvep_nakanishi,256,mu_law,adaptive,-3.3581104697161805,-3.093381902265584,76,True
sleep_edf,256,mu_law,adaptive,3.3154521630650784,3.059593863294283,77,True
ssvep_nakanishi,1024,uniform,mu_law,2.9081243436638715,3.0316373261861376,78,True
epfl_p300,512,uniform,adaptive,1.8074301313239864,3.0312569055182217,79,True
physionet_mi,512,uniform,adaptive,-0.7805792944703178,-3.02575209341741,80,True
ssvep_nakanishi,512,mu_law,adaptive,-3.0018396329940913,-2.90484253497221,81,True
epfl_p300,128,uniform,mu_law,1.5423856277303578,2.7733980301768533,82,True
ssvep_nakanishi,1024,mu_law,adaptive,-2.7511343432971103,-2.6176724110360254,83,True
bci_iv_2a,512,uniform,mu_law,0.6311966226249695,2.6059596231701523,84,True
ssvep_nakanishi,32,uniform,adaptive,-2.2310236444346287,-2.3304860741785447,85,True
physionet_mi,256,uniform,mu_law,0.6328234604621592,2.193786695159535,86,True
epfl_p300,512,mu_law,adaptive,1.3005271353204542,2.156633004311108,87,True
mental_arithmetic,512,uniform,mu_law,1.119927558997965,2.1234466482323704,88,True
sleep_edf,512,uniform,adaptive,2.625128209952493,1.7080883600436279,89,True
sleep_edf,128,uniform,mu_law,1.8089757114570233,1.700446491750289,90,True
epfl_p300,256,uniform,mu_law,0.9484594615994162,1.4240385963806146,91,True
ssvep_nakanishi,64,uniform,adaptive,-1.3358763427581195,-1.3919573737401512,92,True
sleep_edf,512,mu_law,adaptive,1.757653854801216,1.2373474853810114,93,True
mental_arithmetic,1024,uniform,mu_law,0.6824508123694315,1.1118585384654347,94,True
physionet_mi,512,uniform,mu_law,0.31976967140816726,1.0437479937278524,95,True
bci_iv_2a,1024,uniform,mu_law,0.2708561249094572,1.0035745075940403,96,True
ssvep_nakanishi,128,uniform,adaptive,-0.927426160925279,-0.9666973408150927,97,True
sleep_edf,256,uniform,mu_law,1.260212861606277,0.8599169352899888,98,True
epfl_p300,512,uniform,mu_law,0.5069029960035323,0.6835303672116897,99,False
sleep_edf,1024,mu_law,adaptive,-0.9668970670345587,-0.5380870404653599,100,False
physionet_mi,1024,uniform,mu_law,0.15715127880113755,0.5130756992744364,101,False
sleep_edf,512,uniform,mu_law,0.8674743551512769,0.45906367586617625,102,False
ssvep_nakanishi,256,uniform,adaptive,-0.4203827413356578,-0.3925817357123778,103,False
epfl_p300,1024,uniform,mu_law,0.2393985633281659,0.3189604350690515,104,False
sleep_edf,1024,uniform,mu_law,0.6339579353305851,0.2807665322750356,105,False
